cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
us_electronics_ppi_yoy|dev|w60,semis,us_electronics_ppi,yoy,12,45,1965-12-01,dev,60,-1,0.319,-0.381,0.103,0.115,0.111,0.138,0.615,26,-0.116,-0.01573918606863699,1754,-88.98,8.66,99.3,10.8,False,False,True,True,False,2
cn_shanghai_comp_yoy|robustz|w60,cn_cycle,cn_shanghai_comp,yoy,12,31,1999-01-01,robustz,60,1,0.261,-0.292,0.099,0.111,0.107,0.133,0.577,26,-0.053,0.0055712567258504,1729,-62.1,8.53,98.52,11.26,False,False,True,True,False,2
us_philly_fed_level|robustz|w120,us_survey,us_philly_fed,level,0,21,1968-05-01,robustz,120,1,0.243,-0.282,0.098,0.11,0.106,0.143,0.52,25,-0.073,-0.010232494979366746,4567,-59.27,8.18,99.21,11.27,False,False,True,True,False,2
us_empire_state_level|dev|w252,us_survey,us_empire_state,level,0,16,2001-07-01,dev,252,1,0.061,0.169,0.094,0.103,0.1,0.108,0.64,25,-0.152,-0.04395757056148619,5484,-86.97,7.37,99.75,8.64,False,False,False,True,True,2
wti_level|bdtanh|w252,commodity,wti,level,0,0,1986-01-02,bdtanh,252,-1,0.135,-0.004,0.094,0.115,0.108,0.201,0.52,25,-0.031,-0.06204495861347846,4293,-54.69,17.63,99.49,18.18,False,False,True,True,False,2
us_philly_fed_level|selfz|w120,us_survey,us_philly_fed,level,0,21,1968-05-01,selfz,120,1,0.164,-0.074,0.092,0.104,0.1,0.117,0.577,26,-0.012,-0.001958868475909677,4567,-62.79,8.67,99.38,11.6,False,False,True,True,False,2
us_semi_ip_yoy|rankc|w252,semis,us_semi_ip,yoy,12,46,1972-01-01,rankc,252,1,0.252,-0.323,0.091,0.096,0.094,0.077,0.56,25,-0.033,0.0332312593051839,2244,-63.84,4.46,99.72,5.13,False,False,True,True,False,2
us_freight_tsi_yoy|rankc|w60,us_cycle,us_freight_tsi,yoy,12,90,2000-01-01,rankc,60,1,0.126,-0.004,0.089,0.104,0.099,0.144,0.615,26,0.023,0.0031846127010038833,3545,-95.8,11.47,99.4,13.66,False,False,True,True,False,2
wti_level|dev|w120,commodity,wti,level,0,0,1986-01-02,dev,120,-1,0.139,-0.04,0.088,0.114,0.105,0.203,0.5,26,0.026,-0.06086899503703303,4431,-101.91,21.35,99.41,22.92,False,False,True,True,False,2
us_semi_ppi_yoy|dev|w60,semis,us_semi_ppi,yoy,12,45,1967-01-01,dev,60,-1,0.252,-0.331,0.086,0.097,0.094,0.086,0.538,26,-0.097,-0.014372686015247625,1885,-82.28,7.99,99.38,11.73,False,False,True,True,False,2
