cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
us_empire_state_level|signth|w252,us_survey,us_empire_state,level,0,16,2001-07-01,signth,252,1,0.069,0.068,0.069,0.077,0.074,0.036,0.56,25,-0.058,0.008734124905132493,5515,-73.32,7.15,99.6,10.99,False,False,True,True,True,3
us_stlfsi_level|selfz|w60,risk,us_stlfsi,level,0,7,1993-12-31,selfz,60,-1,0.024,0.182,0.068,0.099,0.089,0.041,0.5,26,-0.071,0.049497598435531504,3549,-57.07,23.13,99.2,31.65,False,False,True,True,True,3
us_mfg_new_orders_yoy|robustz|w120,us_cycle,us_mfg_new_orders,yoy,12,65,1992-02-01,robustz,120,1,0.08,0.035,0.066,0.078,0.074,-0.049,0.52,25,-0.028,-0.008225588081177312,3978,-55.55,8.39,99.37,14.46,False,False,True,True,True,3
cn_exports_yoy|selfz|w252,cn_cycle,cn_exports,yoy,12,60,1992-01-01,selfz,252,1,0.051,0.096,0.065,0.076,0.072,0.077,0.56,25,0.019,-0.011870935264801232,3108,-58.44,7.36,99.46,13.86,False,False,True,True,True,3
us_cfnai_level|robustz|w60,us_cycle,us_cfnai,level,0,56,1967-03-01,robustz,60,1,0.08,0.026,0.063,0.083,0.077,-0.061,0.423,26,0.095,0.025431668717766805,4076,-57.33,11.04,98.01,23.94,False,False,True,True,True,3
us_stlfsi_level|dev|w60,risk,us_stlfsi,level,0,7,1993-12-31,dev,60,-1,0.023,0.172,0.063,0.09,0.082,0.083,0.538,26,-0.122,-0.006865225734926505,3549,-58.09,19.36,99.19,29.99,False,False,True,True,True,3
us_dgs5_level|robustz|w60,rates,us_dgs5,level,0,0,1962-01-02,robustz,60,-1,0.22,-0.312,0.061,0.1,0.088,0.178,0.654,26,0.094,0.00801672054616645,1929,-60.93,28.14,99.23,38.82,False,True,True,True,False,3
wti_level|bdtanh|w120,commodity,wti,level,0,0,1986-01-02,bdtanh,120,-1,0.024,0.139,0.058,0.083,0.075,0.231,0.5,26,0.019,-0.04753700201773234,4776,-85.47,21.37,99.72,30.86,False,False,True,True,True,3
us_mfg_new_orders_yoy|bdtanh|w252,us_cycle,us_mfg_new_orders,yoy,12,65,1992-02-01,bdtanh,252,1,0.055,0.049,0.053,0.06,0.057,-0.1,0.52,25,0.013,0.008820491647147533,3431,-63.36,6.12,99.57,11.63,False,False,True,True,True,3
us_cfnai_level|signth|w120,us_cycle,us_cfnai,level,0,56,1967-03-01,signth,120,-1,0.015,0.144,0.051,0.065,0.06,0.151,0.615,26,-0.057,0.013763488851158379,4630,-91.9,11.05,98.85,21.66,False,False,True,True,True,3
us_freight_tsi_yoy|robustz|w120,us_cycle,us_freight_tsi,yoy,12,90,2000-01-01,robustz,120,-1,0.035,0.089,0.049,0.06,0.056,-0.004,0.48,25,-0.072,0.014590499367995072,4266,-80.01,7.73,99.21,17.02,False,False,True,True,True,3
us_empire_state_level|bdtanh|w120,us_survey,us_empire_state,level,0,16,2001-07-01,bdtanh,120,1,0.011,0.135,0.049,0.06,0.056,0.074,0.52,25,-0.093,0.002180683282136075,5524,-93.7,9.44,99.74,19.11,False,False,True,True,True,3
us_mfg_new_orders_yoy|rankc|w252,us_cycle,us_mfg_new_orders,yoy,12,65,1992-02-01,rankc,252,1,0.039,0.057,0.045,0.053,0.05,-0.11,0.48,25,0.015,-0.007303776696584082,3431,-64.53,7.27,99.44,15.26,False,False,True,True,True,3
