regime,panel,family,feature,transform,window,variant,cell,sign,mirror,SR_IS,n_IS,SR_OOS1,SR_OOS2,SRSR_OOS1,posyr_OOS1,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
full,monthly,call,call_oi_total,selfz,252,o2o,full|monthly|call_oi_total|selfz|w252|o2o,-1,False,0.3121218088214947,1854,0.4476542988659325,0.4533605756496138,-0.022944790509228888,0.4,0.3849236231340743,0.342721467292172,0.5555555555555556,-1.8126730125576953,18,-0.019859846239555404,0.0762294007461716,0.8410269822715655,71.58617177310828,99.40589353612167,836,4208,-0.024,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,252,day,full|monthly|call_oi_total|selfz|w252|day,-1,False,0.4440491795644465,1855,0.0967938939782654,-0.23437385481604883,-0.3028073441672222,0.4,0.1846873367260043,0.07479149911906013,0.6111111111111112,-3.1999562607670047,18,-0.04692891139383878,0.07637190822024083,0.8409877844518534,71.57102803806212,99.40603468757423,1120,4209,-0.056,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,robustz,20,c2c,full|monthly|call_oi_total|robustz|w20|c2c,-1,False,0.09787790707192998,1961,-0.1650886951789152,-0.2646897105557058,-0.29407502907961314,0.4,-0.120615158693761,-0.023630707619881747,0.4444444444444444,-1.7165086486218022,18,-0.4399305174236662,-0.3556559821300094,1.0159721106656812,110.55542792374433,98.88760139049826,2519,4315,-0.44,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,20,o2o,full|monthly|call_oi_total|robustz|w20|o2o,-1,False,-0.011401821641939279,1961,-0.3783551865106712,-0.5726774551446535,-0.493148956180421,0.4,-0.31802683950372285,-0.23982653664708983,0.2777777777777778,-2.33126460760665,18,-0.3770327133838874,-0.3556559821300094,1.0159721106656812,110.55542792374433,98.88760139049826,2689,4315,-0.377,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,20,day,full|monthly|call_oi_total|robustz|w20|day,-1,False,0.18283972515901686,1962,-0.09156379765549356,-0.3314615452449584,-0.3163985874144566,0.6,-0.06607457413603177,-0.05662737646979584,0.6111111111111112,-3.18056210600545,18,-0.32948540426596107,-0.35543426617997786,1.0158760258527852,110.53234078795309,98.88785912882298,1627,4316,-0.329,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,60,c2c,full|monthly|call_oi_total|robustz|w60|c2c,-1,False,0.1533047732063131,1921,-0.12954978092267103,-0.10948259554811446,-0.37906394102889385,0.4,-0.029232687151868362,0.03128008373903641,0.5,-1.2582486980445549,18,-0.4081884276339361,-0.2764081732460797,0.9001553390124266,93.37821620802914,98.52631578947368,1571,4275,-0.453,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,60,o2o,full|monthly|call_oi_total|robustz|w60|o2o,-1,False,0.1493109947839622,1921,-0.16374265579273922,-0.40839538754769117,-0.3045527913665301,0.4,-0.1325630128263366,-0.10752723691217465,0.3888888888888889,-2.4193662306446884,18,-0.36143345293553714,-0.2764081732460797,0.9001553390124266,93.37821620802914,98.52631578947368,1461,4275,-0.402,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,60,day,full|monthly|call_oi_total|robustz|w60|day,-1,False,0.23180926272247324,1922,-0.0009459202983544823,-0.42806087217446137,-0.25105314182810806,0.6,-0.037122026615365206,-0.05041947835304703,0.6111111111111112,-3.267578421294523,18,-0.3231047381210931,-0.2762553981986304,0.9000329588886276,93.3599972496477,98.5266604303087,1224,4276,-0.359,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,120,c2c,full|monthly|call_oi_total|robustz|w120|c2c,-1,False,0.1994999837058298,1861,-0.08730622914536106,0.006053644109371203,-0.3851418532252064,0.4,0.03938089108380461,0.09136124420977243,0.5555555555555556,-1.6668527552660377,18,-0.3851580817860826,-0.23361093611529699,0.8600396717932822,85.4552399658216,98.83748517200475,1571,4215,-0.448,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,120,o2o,full|monthly|call_oi_total|robustz|w120|o2o,-1,False,0.20429051011006977,1861,-0.005184435705886774,-0.27804443436325765,-0.2753413049414148,0.4,-0.01747217678132763,-0.048757219944590244,0.3888888888888889,-2.868657049517646,18,-0.3566252635223293,-0.23361093611529699,0.8600396717932822,85.4552399658216,98.83748517200475,1461,4215,-0.415,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,120,day,full|monthly|call_oi_total|robustz|w120|day,-1,False,0.40721838532894006,1862,0.03852203831980428,-0.3136023717194215,-0.30796402478194645,0.6,0.08187794767349958,-0.014237269047603017,0.6111111111111112,-3.7533095894875492,18,-0.3587992595425363,-0.23348224795609732,0.8599089551593347,85.43847794472113,98.83776091081594,1120,4216,-0.417,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,252,c2c,full|monthly|call_oi_total|robustz|w252|c2c,-1,False,0.20480557010297212,1729,0.008479304812781042,0.26924004868205925,-0.4446613767360995,0.4,0.15620037050640248,0.2113074397581944,0.5882352941176471,-1.3691287982321496,17,-0.3042820335608052,-0.16527387979907368,0.8149015432079167,75.09087079932561,99.04481998530493,1366,4083,-0.373,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,252,o2o,full|monthly|call_oi_total|robustz|w252|o2o,-1,False,0.23716422596471107,1729,0.19521938664694577,0.0012174724807414443,-0.2881993282222111,0.4,0.15657696792270515,0.050109583768763837,0.4117647058823529,-2.6467013373106383,17,-0.2825964495428057,-0.16527387979907368,0.8149015432079167,75.09087079932561,99.04481998530493,1118,4083,-0.347,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,robustz,252,day,full|monthly|call_oi_total|robustz|w252|day,-1,False,0.4168636761447519,1730,0.10403942051918964,-0.17735487376202913,-0.3554506320637799,0.4,0.16369649898921884,-0.020096453350534737,0.5882352941176471,-3.7491270656042888,17,-0.29444634624483085,-0.1651247619687224,0.8148106572618217,75.07451719278414,99.04505386875611,1137,4084,-0.361,False,False,True,False,False,1,False
full,monthly,call,call_oi_total,bdtanh,20,c2c,full|monthly|call_oi_total|bdtanh|w20|c2c,-1,False,0.07945008938877592,1970,0.4432700635009961,0.4635754796668795,0.4925984950526845,0.8,0.2807143517696297,0.403074622899306,0.6111111111111112,-0.8035002782516792,18,0.008004481241080092,0.03319812666521882,0.5897409530917629,44.842289606509965,99.46808510638297,792,4324,0.014,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,bdtanh,20,o2o,full|monthly|call_oi_total|bdtanh|w20|o2o,-1,False,0.16884759781148426,1970,0.4670138096855119,0.22540884203081676,0.22718168453411328,0.6,0.2583328677126255,0.27794127506925054,0.5555555555555556,-1.7024822043124952,18,-0.005971444849218373,0.03319812666521882,0.5897409530917629,44.842289606509965,99.46808510638297,1096,4324,-0.01,False,False,True,True,True,2,False
