panel,basket,n_members,variant,SR_IS,SR_OOS1,SR_OOS2,full_SR_net,full_SR_of_SR,full_positive_years,full_n_years,full_beta,full_abs_exec_w,full_held_pct,full_turnover_ann,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly,putEW,9,day,0.6089067994653886,-0.16762796541801525,-0.4204236778019516,0.1651621115331485,0.2021792353497574,0.6111111111111112,18,0.04967147896201885,0.11930286205006885,94.90177736202058,19.494769707028176,0.416,False,False,True,False,True,1,False
monthly,allEW,28,day,0.996089635604391,0.3374996687474405,-0.39173655948291025,0.46992112376964584,0.47741873633963994,0.6111111111111112,18,0.05858923743900587,0.09111081668316212,93.56875584658559,14.405665233358214,0.643,False,False,True,False,True,1,False
all,callEW,8,c2c,0.42068990847006144,-0.05681546420066597,0.8084148659297651,0.4127584948179151,0.24123476213921105,0.5555555555555556,18,0.12308840269633964,0.1678823460717989,96.0701754385965,28.70386100005454,0.733,False,False,True,False,True,1,False
all,combEW,10,c2c,1.0680245891627889,0.748389335578551,0.2065724908962649,0.6867140065778802,0.8341888779807812,0.8333333333333334,18,0.022753879601959116,0.09749659012196708,93.96491228070175,22.78038636157904,0.233,True,True,True,False,True,3,False
all,putEW,8,c2c,0.29925118654571664,0.48374307704963204,0.3016283726580988,0.34289338730505775,0.3485124529851339,0.7222222222222222,18,0.05611143993893619,0.13345233331868978,95.2046783625731,36.4053294568943,0.42,False,True,True,False,True,2,False
all,allEW,26,c2c,0.761407326235394,0.5910558488643561,0.8216017004523389,0.7340637377842392,0.6612051970032603,0.7777777777777778,18,0.06388651562456732,0.08884984789199538,93.56725146198829,16.91691035291821,0.719,True,True,True,False,True,3,False
all,callEW,8,o2o,0.811489674401314,0.3741794333054715,1.1110143171729168,0.7626477276686061,0.5626310144454862,0.8888888888888888,18,0.04585765219312881,0.12201499938470334,94.85380116959064,24.601898244842843,0.376,False,True,True,False,True,2,False
all,combEW,10,o2o,1.150709852846293,0.7046526404075772,0.4085138237119176,0.7936899939648135,1.0630212890212107,0.9444444444444444,18,-0.001018610843708009,0.0999549879292553,93.56725146198829,17.23130849868089,-0.01,True,True,True,True,True,4,True
all,putEW,8,o2o,0.4476524336188324,-0.08321625459918075,0.07373827146151661,0.19518198341274995,0.1113141051582789,0.6666666666666666,18,0.05219254040727699,0.16691567110901442,96.39766081871345,35.04732248517748,0.313,False,True,True,False,True,2,False
all,allEW,26,o2o,1.1531232269144225,0.4456051052434113,0.6860978645125748,0.8181049127205453,0.6695779843838752,0.8888888888888888,18,0.029768275204465965,0.08263898782364183,92.63157894736842,18.454779905223447,0.36,True,True,True,False,True,3,False
all,callEW,8,day,0.603560138411967,0.4577811133441205,-0.5368942384561427,0.2725719387388074,0.2884046766652656,0.6111111111111112,18,0.10658211329794737,0.16785567898789305,96.0710944808232,28.700613387062724,0.635,False,False,True,False,True,1,False
all,combEW,10,day,0.9041186781856718,0.6287762403223793,0.016143181174810953,0.5891487546893956,0.5741852741342228,0.8333333333333334,18,0.0018967195507031576,0.09995860708735707,93.56875584658559,17.22983871969394,0.019,False,True,True,True,True,3,False
all,putEW,8,day,0.7050954238751973,-0.00881844037414555,-0.8105855600329731,0.1527466141740102,0.01661426432450027,0.6111111111111112,18,-0.03297368315280661,0.11862097156347713,94.97193638914874,25.468795342598323,-0.278,False,False,True,False,True,1,False
all,allEW,26,day,1.1363408891242308,0.800754173887914,-0.7750192823624928,0.6326133868832533,0.34477416570382075,0.7222222222222222,18,0.02337639841209224,0.08048899691134422,92.02525724976613,15.317326219807375,0.29,False,True,True,False,True,2,False
