,call_oi_total,call_cog,call_disp,call_otm_share,call_far_share,call_wall,call_front_share,call_churn,call_oi_growth,call_cog_chg,call_far_chg
2024-07-02,100035.0,0.03200074851545539,0.06654985037582867,0.8143749687609336,0.33098415554555904,0.02275543426239457,0.8518918378567502,0.3520067976208327,0.02967576814611661,0.007947809619219912,0.08501566620357573
2024-07-03,103319.0,0.019703322518440838,0.06492766384510504,0.7153766490190575,0.23419700151956563,0.009820722298006679,0.8498146517097533,0.19825975861167838,0.03230116476020761,-0.012297425997014551,-0.09678715402599342
2024-07-04,109563.0,0.007612740016280156,0.06349461897180965,0.5678559367669742,0.17071456604875734,-0.005209048516464754,0.8459516442594671,0.3678979217436543,0.058678436763701214,-0.012090582502160682,-0.06348243547080828
2024-07-05,113929.0,0.007642939251345793,0.062369355917434886,0.585215353421868,0.1555705746561455,-0.006647396758189594,0.8429636001369274,0.16085456731824208,0.039075721075809255,3.0199235065636945e-05,-0.015143991392611855
2024-07-08,113207.0,-0.003513176735541908,0.06255525119277187,0.5187576739954243,0.11197187453072689,-0.020024583144004127,0.8259559921206285,0.4875581898645843,-0.006357446039041648,-0.011156115986887701,-0.043598700125418596
2024-07-09,122540.0,-0.001973937926542273,0.06093595850660777,0.5328300962950873,0.1131467275991513,0.012548911970169163,0.8290517382079321,0.43313203851803495,0.07921950598445271,0.0015392388089996351,0.0011748530684244085
2024-07-10,143071.0,-0.0008427601832428322,0.05821512989647993,0.5371528821354432,0.10756896925302821,0.008035962724329604,0.8324817747831497,0.5458898029649615,0.15490350324182423,0.0011311777432994408,-0.005577758346123091
2024-07-11,176997.0,-0.005841628694599919,0.05639643131317231,0.4906806330050792,0.12030712384955677,-0.00779129832968628,0.8540709729543439,0.8180308140815946,0.2127917727383153,-0.004998868511357087,0.012738154596528564
2024-07-12,226052.0,0.016482620257142474,0.051651255131954225,0.74824819068179,0.19206642719374303,0.011835549127751754,0.8751570435121122,1.094137632049263,0.2446322780239143,0.02232424895174239,0.07175930334418626
2024-07-15,243844.0,0.017613589548232157,0.04973409738833764,0.7861214547005463,0.17345515985630158,0.013427495544269252,0.8686455274683814,0.9984006167877824,0.07576361526164632,0.0011309692910896826,-0.01861126733744145
2024-07-16,247924.0,0.011790731873288225,0.048961965651788,0.7567117342411385,0.14552443490747163,0.008448884768046394,0.8693994933931366,1.3552459624723705,0.016593571022980314,-0.005822857674943931,-0.02793072494882995
2024-07-17,283391.0,0.019367907650744486,0.04639781747732219,0.7963238070369207,0.18006570427430652,0.018097739065756402,0.8644805233758306,1.8921207801235749,0.1337053219325277,0.007577175777456261,0.03454126936683488
2024-07-18,52653.0,0.04004851742777763,0.08439435977269621,0.8667692249254554,0.4563462670693028,0.025708091170063563,0.0,0.40730822555220025,-1.6831043525050529,0.020680609777033145,0.2762805627949963
2024-07-19,59304.0,0.06399515931593165,0.08368785477200398,0.9279138000809389,0.573890462700661,0.04944366367779285,0.0,0.3246998516120329,0.11895354034075467,0.02394664188815402,0.1175441956313582
2024-07-22,71514.0,0.08862305957944927,0.08152134633982722,0.9483597617249769,0.8300053136448807,0.07831292551238955,0.0,0.5575411807478255,0.18721647737420888,0.02462790026351762,0.2561148509442197
2024-07-23,72122.0,0.05924227491363387,0.07959547511089413,0.9050081805829012,0.508194448295943,0.049325283842489354,0.0,0.2678239649482821,0.008465894780490757,-0.029380784665815403,-0.32181086534893777
2024-07-26,85466.0,0.08557122349947537,0.079474145154434,0.9488685559169728,0.7414995436781878,0.08502970946973254,0.0,0.46008939227295065,0.16975950652685157,0.026328948585841498,0.23330509538224486
2024-07-29,87191.0,0.08135398135222993,0.07892485928275873,0.9495246068975008,0.7211982888142124,0.0828130942782801,0.0,0.2017754125999243,0.019982478543166593,-0.004217242147245434,-0.020301254863975382
