panel,family,feature,n,corr_same_day,IC_2009_2013,IC_2014_2018,IC_2019_2022,IC_2023_2026,IC_sign_agree,corr_spot_h1,corr_spot_h2
monthly,comb,pcr_oi,4335,0.15270775578217807,-0.010578952184598502,0.039858821532835896,0.02784334202405549,0.04023089426887378,0.25,0.4135548751194064,-0.02166862032407078
monthly,comb,pcr_vol,4335,0.09961549781902715,0.0519203955711004,0.07198591167604662,-0.016825331745907276,0.07131327787645664,0.75,0.34403889743656735,0.012023509846743503
monthly,comb,pcr_oi_chg,4334,0.4330035691053255,-0.040061061322974344,0.03863027837926492,0.002729278829234482,-0.007790822446364439,0.5,-0.013841889017035697,-0.0019139578871986598
monthly,comb,pcr_far,4331,0.009798772577783055,-0.0462575460181541,0.009706081433088954,0.001883374753861043,-0.0015880329654023168,0.5,-0.021731869303695753,0.10204627869653733
monthly,comb,pcr_atm,4335,-0.4502813472632372,0.033876943863503935,0.016924732822764094,0.01664185887198598,0.0050486521850146605,1.0,-0.05997721470133253,-0.08102345129995514
monthly,comb,cog_gap,4335,-0.005696770872791578,0.07656415156604611,0.009128567860218218,0.04194705760485286,0.05789434291534325,1.0,-0.4777725843268153,0.33691283737077643
monthly,comb,cog_mid,4335,-0.29706668852511725,0.03409803962283639,-0.001365335612720696,0.00650434081558708,-0.01914570544157621,0.5,-0.10914982791586517,-0.44288144589384604
monthly,comb,far_asym,4335,0.360168794527668,-0.04259303423494334,-0.000543123143180432,-0.006536837974691351,0.0036755907469251878,0.75,0.16701398077586613,0.16800717219256042
monthly,comb,wall_gap,4335,0.005626656376100476,0.06746928418434901,-0.022947159807439537,-0.007305652174715875,0.06272066051621727,0.5,-0.5918382792766602,0.4157214950992628
monthly,comb,wall_mid,4335,-0.18477005919298298,0.03952093771415624,-0.052408615036662394,0.02329377191849261,-0.023501242131071878,0.5,0.15491113313770613,-0.3609024395900862
monthly,comb,churn_ratio,4335,-0.07855254682724315,0.03613015499523079,0.023647425087119794,-0.04033410862637703,0.002428435831646207,0.75,-0.1614994105541658,0.010684888977169153
monthly,comb,oi_growth_diff,4334,-0.4330035691053258,0.040061061322974344,-0.03863027837926492,-0.002729278829234482,0.007790822446364439,0.5,0.013841889017035728,0.0019139578871986544
monthly,comb,disp_ratio,4335,-0.011174360841144171,-0.07715311738841658,-0.012655532677785727,0.0051600997860302405,0.016043147652926384,0.5,0.51071544882687,0.38476199739294736
monthly,comb,front_diff,4335,-0.1467805387867466,-0.012322192551830095,-0.02977797642385044,-0.008241147717189494,0.003486183853489966,0.75,-0.0013342820608473998,-0.04763722099294081
monthly,comb,max_pain,2585,-0.4304787653892754,-0.008174963075453314,-0.01980971011930753,-0.015103265194727962,0.010672423345457939,0.75,0.1528799389534803,-0.25153703992579607
all,call,call_oi_total,4335,-0.11009494136062346,-0.056640507565301236,-0.03498639902948335,-0.018747724563494984,-0.012136145405437634,1.0,0.3191667608935113,-0.730782130496015
all,call,call_cog,4335,-0.27265639653000706,0.061848071178131875,0.007698197488493894,0.02669010142259774,0.01804070474457805,1.0,-0.35548088615067686,-0.22379871820961406
all,call,call_disp,4335,0.018796219079663695,0.08359269344414638,0.01797085801854735,0.03450982764339348,0.004738266984248192,1.0,-0.6915186919919274,-0.20470277563222447
all,call,call_otm_share,4335,-0.4203982308435771,0.022339834398808118,-0.02764166017155457,-0.009553553564991438,0.013248299179782581,0.5,0.012642945699664301,-0.023480549547380682
