cell,SR_IS,SR_net,SR_of_SR,positive_years,n_years,beta,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly|call_cog|robustz|w120|c2c,0.2832337884938781,0.2946879763876787,0.36085489831175804,0.6666666666666666,18,1.2445032907229152,0.8972851934665994,1.387,False,True,True,False,False,2,False
monthly|call_cog|robustz|w252|c2c,0.21183937630032193,0.32703653878560196,0.31719150434866455,0.6470588235294118,17,1.2123545503150228,0.9248261122323355,1.311,False,False,True,False,False,1,False
monthly|call_cog|bdtanh|w20|c2c,0.006376158537554789,-0.11258837222049228,-0.2746616344003609,0.3333333333333333,18,0.24234764626773925,0.6395620407433872,0.379,False,False,True,False,False,1,False
monthly|call_cog|bdtanh|w60|c2c,-0.007100264584529795,-0.024275089333406556,-0.010168055121180596,0.3888888888888889,18,-0.2658577111370831,0.6116574024939875,-0.435,False,False,True,False,False,1,False
monthly|call_cog|bdtanh|w120|c2c,0.16703573536788505,-0.021894589054808435,-0.06062178520247323,0.5555555555555556,18,0.27226619654264284,0.5931237749962811,0.459,False,False,True,False,False,1,False
monthly|call_cog|bdtanh|w252|c2c,-0.010269165673174421,0.0041906739902033965,-0.027882675928995095,0.4444444444444444,18,-0.2829355853806146,0.5851149148030349,-0.484,False,False,True,False,False,1,False
monthly|call_cog|rankc|w20|c2c,0.020971698238816845,-0.036817290518382145,-0.18173707975950185,0.3888888888888889,18,0.2692855444173534,0.5643617021276611,0.477,False,False,True,False,False,1,False
monthly|call_cog|rankc|w60|c2c,-0.011690081755878538,-0.081765336559004,-0.08208168363498056,0.3888888888888889,18,-0.27061965493737494,0.5546700743494428,-0.488,False,False,True,False,False,1,False
monthly|call_cog|rankc|w120|c2c,0.06530638595005897,-0.005365061337254573,-0.07526282054037342,0.5555555555555556,18,0.2756374729809265,0.5452308532210264,0.506,False,False,True,False,False,1,False
monthly|call_cog|rankc|w252|c2c,-0.048447575001964845,-0.026683747698705428,0.022560405165859564,0.4444444444444444,18,-0.2990612421292298,0.5466175538656496,-0.547,False,False,True,False,False,1,False
monthly|call_cog|signth|w20|c2c,-0.033282399734485005,0.016832193679463613,0.14450858971701308,0.4444444444444444,18,-0.13660055181619016,0.5049568276303166,-0.271,False,False,True,False,True,1,False
monthly|call_cog|signth|w60|c2c,0.05306866812026905,-0.0951225188741561,-0.21408958214408644,0.4444444444444444,18,0.14128054972226997,0.4748960665174288,0.297,False,False,True,False,True,1,False
monthly|call_cog|signth|w120|c2c,0.09656659475373679,-0.06346763213551768,-0.11018040506391152,0.5,18,0.1332678280159931,0.4539494723377039,0.294,False,False,True,False,True,1,False
monthly|call_cog|signth|w252|c2c,0.008664763707354048,-0.16669870558485372,-0.31402493125227593,0.3333333333333333,18,0.14235803217848883,0.44019827310521265,0.323,False,False,True,False,True,1,False
monthly|call_cog|dev|w20|c2c,0.16575091701769826,0.2131467857636406,0.018049110301248533,0.5,18,0.01440171572196237,0.01598531940763749,0.901,False,False,True,False,True,1,False
monthly|call_cog|dev|w60|c2c,0.030729870649142413,0.18666825540107018,0.1118462390274193,0.5555555555555556,18,0.01894308283505727,0.02009905363014749,0.942,False,False,True,False,True,1,False
monthly|call_cog|dev|w120|c2c,0.2200741012279424,0.26201236723207294,0.23414533514836708,0.7222222222222222,18,0.02118695207125185,0.02217247357930244,0.956,False,True,True,False,True,2,False
monthly|call_cog|dev|w252|c2c,0.16542280380694932,0.2207206604770925,0.1816407324381987,0.6666666666666666,18,0.024745125909530936,0.024528200197804325,1.009,False,True,True,False,True,2,False
monthly|call_disp|selfz|w20|c2c,-0.11961824435706649,-0.2370152966137667,-0.3275853412815684,0.2777777777777778,18,-0.27906483893651224,0.995786215419839,-0.28,False,False,True,False,False,1,False
monthly|call_disp|selfz|w60|c2c,-0.06939504526007725,-0.3013690480979257,-0.32110510282794225,0.2777777777777778,18,-0.3824395750431243,1.0027197333629871,-0.382,False,False,True,False,False,1,False
monthly|call_disp|selfz|w120|c2c,0.091857691332419,0.2972833081380253,0.31086201235602934,0.7222222222222222,18,0.5582963705655827,1.0034801226656005,0.558,False,True,True,False,False,2,False
monthly|call_disp|selfz|w252|c2c,-0.05178360103410342,-0.2927534361277048,-0.22028140223269813,0.3333333333333333,18,-0.7562913760985999,1.032087730870746,-0.756,False,False,True,False,False,1,False
monthly|call_disp|robustz|w20|c2c,0.6338324671820421,0.3228025874020541,0.2619515920798199,0.5,18,0.35495370692433587,1.0599629610288113,0.355,False,False,True,False,False,1,False
monthly|call_disp|robustz|w60|c2c,0.4896554858849109,0.5302381343560589,0.3778281450840285,0.7222222222222222,18,0.4639063759973354,0.8592022945257338,0.54,False,True,True,False,False,2,False
monthly|call_disp|robustz|w120|c2c,0.21984337650158065,0.44182083840220787,0.3137133645625166,0.7777777777777778,18,0.8537050119421107,0.9268090685466471,0.921,False,True,True,False,False,2,False
monthly|call_disp|robustz|w252|c2c,0.1176191564551818,0.3776238451428348,0.6357698030696196,0.7647058823529411,17,1.2167798977251338,1.0273869925394106,1.217,True,True,True,False,False,3,False
monthly|call_disp|bdtanh|w20|c2c,-0.2857964509132999,-0.13847518284026092,-0.2178832782855006,0.2777777777777778,18,-0.13233503633123378,0.6339957018442047,-0.209,False,False,True,False,True,1,False
monthly|call_disp|bdtanh|w60|c2c,-0.2706139670743435,-0.17735328845445583,-0.22206986633683862,0.2777777777777778,18,-0.16651798059774284,0.6383395424987819,-0.261,False,False,True,False,False,1,False
monthly|call_disp|bdtanh|w120|c2c,-0.0892276857428736,-0.20308843698768425,-0.2631610958863662,0.3333333333333333,18,-0.20260560381590736,0.6279535976963786,-0.323,False,False,True,False,False,1,False
