signal,sign,n_bars,start_date,end_date,cum_gross_pct,cum_net_pct,ann_ret_gross_pct,ann_ret_net_pct,SR_gross,SR_net,sortino,calmar,max_dd_pct,max_dd_days,beta,alpha_ann_pct,corr_bh,info_ratio,win_rate,profit_factor,win_loss_ratio,best_day_pct,worst_day_pct,ret_skew,ret_kurt,downside_dev_pct,yr_sr_min,yr_sr_max,yr_sr_mean,yr_sr_std,SR_of_SR,positive_years,n_years,held_pct,turnover_avg,turnover_ann,n_trades,tcost_pct_of_gross,n_bars_oos,start_date_oos,end_date_oos,cum_gross_pct_oos,cum_net_pct_oos,ann_ret_gross_pct_oos,ann_ret_net_pct_oos,SR_gross_oos,SR_net_oos,sortino_oos,calmar_oos,max_dd_pct_oos,max_dd_days_oos,beta_oos,alpha_ann_pct_oos,corr_bh_oos,info_ratio_oos,win_rate_oos,profit_factor_oos,win_loss_ratio_oos,best_day_pct_oos,worst_day_pct_oos,ret_skew_oos,ret_kurt_oos,downside_dev_pct_oos,yr_sr_min_oos,yr_sr_max_oos,yr_sr_mean_oos,yr_sr_std_oos,SR_of_SR_oos,positive_years_oos,n_years_oos,held_pct_oos,turnover_avg_oos,turnover_ann_oos,n_trades_oos,tcost_pct_of_gross_oos,oos_is_ratio
front_share_oi_total_rank60_norm120,-1,2922,2013-01-02,2024-12-31,91.343,86.318,7.878,7.444,0.688,0.65,0.89,0.491,-15.16,404,-0.038,7.865,-0.056,0.651,0.519,1.137,1.052,9.241,-6.396,0.774,17.917,8.368,-0.756,2.064,0.694,0.847,0.819,0.75,12,99.79,0.31086,78.34,2898,5.5,226,2025-01-02,2025-12-05,5.531,5.224,6.168,5.825,0.402,0.379,0.526,0.392,-14.84,209,-0.016,6.237,-0.028,0.395,0.511,1.071,1.025,3.432,-3.627,-0.079,2.933,11.072,,,,,,,1,99.56,0.36563,92.14,217,5.56,0.583
total_call_monthly_volume_dev60_240,-1,2922,2013-01-02,2024-12-31,86.962,82.283,7.5,7.096,0.752,0.712,0.883,0.41,-17.3,429,0.075,6.259,0.127,0.719,0.54,1.153,0.983,6.791,-7.952,-0.278,19.44,8.037,-0.466,3.038,0.779,0.956,0.815,0.75,12,99.83,0.27554,69.44,2933,5.38,226,2025-01-02,2025-12-05,7.441,7.309,8.297,8.15,0.657,0.645,0.816,0.468,-17.41,151,0.197,3.186,0.406,0.425,0.553,1.138,0.92,3.91,-3.509,0.242,7.299,9.991,,,,,,,1,100.0,0.15715,39.6,226,1.78,0.906
front_share_oi_total_rank240_norm60,-1,2922,2013-01-02,2024-12-31,96.112,91.143,8.289,7.86,0.724,0.687,0.936,0.487,-16.15,501,-0.03,8.191,-0.044,0.686,0.516,1.144,1.073,8.889,-6.804,0.581,16.042,8.401,-0.959,2.208,0.742,0.918,0.808,0.75,12,99.52,0.30752,77.49,2884,5.17,226,2025-01-02,2025-12-05,6.808,6.512,7.591,7.261,0.504,0.482,0.662,0.486,-14.93,168,-0.003,7.345,-0.006,0.485,0.518,1.091,1.017,3.562,-3.505,-0.08,3.012,10.968,,,,,,,1,100.0,0.35248,88.82,213,4.36,0.702
total_call_monthly_volume_dev60_240_norm60,-1,2922,2013-01-02,2024-12-31,90.726,85.747,7.824,7.395,0.706,0.667,0.838,0.392,-18.86,380,0.068,6.642,0.103,0.668,0.537,1.14,0.981,7.858,-7.353,-0.123,15.837,8.826,-0.515,2.709,0.72,0.903,0.798,0.75,12,99.66,0.29282,73.79,2933,5.49,226,2025-01-02,2025-12-05,8.355,8.205,9.316,9.149,0.618,0.607,0.772,0.424,-21.57,147,0.249,2.881,0.429,0.335,0.553,1.122,0.907,4.822,-4.155,-0.018,6.092,11.849,,,,,,,1,100.0,0.17786,44.82,226,1.79,0.91
front_share_oi_total_rank240_norm120,-1,2922,2013-01-02,2024-12-31,94.199,89.268,8.124,7.699,0.705,0.668,0.912,0.445,-17.29,1022,-0.04,8.147,-0.059,0.667,0.516,1.14,1.069,9.397,-7.365,0.63,18.273,8.446,-0.982,2.186,0.722,0.905,0.798,0.75,12,99.83,0.30582,77.07,2901,5.23,226,2025-01-02,2025-12-05,8.719,8.423,9.722,9.392,0.649,0.627,0.855,0.62,-15.14,164,0.013,9.074,0.022,0.619,0.533,1.12,0.98,3.529,-3.483,-0.129,2.891,10.986,,,,,,,1,99.56,0.35255,88.84,224,3.4,0.939
total_call_monthly_volume_dev60_240_norm120,-1,2922,2013-01-02,2024-12-31,92.465,87.462,7.974,7.543,0.719,0.68,0.858,0.41,-18.41,380,0.064,6.833,0.097,0.682,0.537,1.144,0.986,8.394,-7.556,0.003,17.985,8.794,-0.535,2.779,0.731,0.917,0.797,0.75,12,99.76,0.29416,74.13,2933,5.41,226,2025-01-02,2025-12-05,8.835,8.685,9.851,9.684,0.645,0.634,0.803,0.436,-22.23,156,0.263,3.052,0.449,0.363,0.556,1.129,0.903,5.04,-4.404,-0.015,6.617,12.063,,,,,,,1,99.56,0.1778,44.81,226,1.69,0.932
front_share_oi_total_rank60_norm252,-1,2922,2013-01-02,2024-12-31,90.68,85.637,7.82,7.386,0.682,0.644,0.88,0.474,-15.58,501,-0.041,7.843,-0.06,0.645,0.515,1.136,1.069,9.387,-6.618,0.792,19.089,8.393,-0.808,2.14,0.696,0.875,0.795,0.75,12,99.52,0.31207,78.64,2918,5.56,226,2025-01-02,2025-12-05,5.106,4.796,5.693,5.348,0.369,0.347,0.478,0.349,-15.32,209,-0.007,5.536,-0.013,0.355,0.511,1.065,1.018,3.388,-3.599,-0.121,2.949,11.187,,,,,,,1,99.56,0.36813,92.77,225,6.06,0.539
total_call_monthly_oi_dev60_240_norm504,-1,2922,2013-01-02,2024-12-31,99.652,96.371,8.594,8.311,0.734,0.71,0.881,0.271,-30.67,609,0.156,6.578,0.224,0.724,0.531,1.154,1.017,6.855,-8.045,-0.303,15.084,9.437,-0.822,2.466,0.828,1.046,0.792,0.667,12,99.56,0.20592,51.89,2933,3.29,226,2025-01-02,2025-12-05,10.826,10.628,12.072,11.85,0.807,0.793,1.212,0.811,-14.61,176,0.159,7.848,0.276,0.725,0.5,1.166,1.166,6.054,-3.732,1.043,9.024,9.78,,,,,,,1,100.0,0.23573,59.4,226,1.83,1.117
front_share_oi_total_rank60_norm504,-1,2922,2013-01-02,2024-12-31,91.149,86.143,7.861,7.429,0.684,0.646,0.882,0.471,-15.78,501,-0.044,7.922,-0.065,0.647,0.517,1.136,1.062,9.412,-6.706,0.783,19.247,8.427,-0.783,2.215,0.703,0.896,0.785,0.75,12,99.52,0.30995,78.11,2893,5.49,226,2025-01-02,2025-12-05,6.483,6.174,7.228,6.884,0.471,0.449,0.623,0.447,-15.41,168,0.005,6.759,0.008,0.444,0.513,1.084,1.028,3.371,-3.619,-0.111,2.849,11.046,,,,,,,1,100.0,0.36771,92.66,220,4.77,0.695
front_share_oi_total_rank240_norm504,-1,2922,2013-01-02,2024-12-31,95.53,90.645,8.239,7.817,0.71,0.674,0.914,0.456,-17.13,1022,-0.044,8.311,-0.064,0.673,0.518,1.142,1.062,9.46,-7.453,0.68,19.746,8.555,-0.872,2.343,0.766,0.975,0.785,0.833,12,99.45,0.30364,76.52,2904,5.11,226,2025-01-02,2025-12-05,9.542,9.247,10.639,10.31,0.701,0.68,0.923,0.706,-14.61,163,-0.002,10.349,-0.003,0.68,0.551,1.13,0.92,3.292,-3.414,-0.149,2.577,11.168,,,,,,,1,99.56,0.35008,88.22,214,3.09,1.009
total_call_monthly_oi_dev60_240,-1,2922,2013-01-02,2024-12-31,93.497,90.241,8.063,7.783,0.736,0.71,0.86,0.262,-29.71,617,0.152,6.098,0.233,0.725,0.536,1.161,1.006,6.306,-7.664,-0.283,16.862,9.052,-0.83,2.628,0.819,1.044,0.785,0.75,12,99.04,0.20375,51.34,2933,3.48,226,2025-01-02,2025-12-05,11.767,11.586,13.121,12.919,0.995,0.979,1.477,0.867,-14.89,168,0.16,8.893,0.315,0.985,0.511,1.218,1.165,5.212,-3.277,1.156,9.238,8.748,,,,,,,1,98.67,0.21574,54.37,226,1.54,1.379
total_call_monthly_oi_rank240_norm60,-1,2922,2013-01-02,2024-12-31,97.668,94.234,8.423,8.127,0.726,0.7,0.854,0.26,-31.2,654,0.137,6.602,0.199,0.71,0.532,1.154,1.015,6.538,-7.956,-0.487,16.135,9.514,-0.99,2.155,0.799,1.027,0.779,0.75,12,99.59,0.21581,54.38,2933,3.52,226,2025-01-02,2025-12-05,8.552,8.313,9.536,9.269,0.562,0.546,0.789,0.518,-17.9,209,0.222,3.665,0.341,0.328,0.529,1.115,0.992,7.238,-4.232,1.067,10.731,11.756,,,,,,,1,98.67,0.28488,71.79,226,2.79,0.78
total_call_monthly_volume_dev60_240_norm252,-1,2922,2013-01-02,2024-12-31,92.862,87.868,8.009,7.578,0.726,0.687,0.87,0.405,-18.7,425,0.056,6.952,0.086,0.689,0.538,1.145,0.982,8.61,-7.622,0.068,18.932,8.708,-0.513,2.835,0.731,0.94,0.777,0.75,12,99.79,0.2939,74.06,2933,5.38,226,2025-01-02,2025-12-05,8.085,7.937,9.015,8.85,0.622,0.611,0.782,0.427,-20.73,157,0.227,3.134,0.407,0.365,0.556,1.123,0.898,4.41,-3.881,-0.005,5.547,11.316,,,,,,,1,99.56,0.17591,44.33,226,1.83,0.889
front_share_oi_total_rank240_norm252,-1,2922,2013-01-02,2024-12-31,93.507,88.568,8.064,7.638,0.697,0.66,0.9,0.425,-17.96,1037,-0.045,8.137,-0.065,0.66,0.514,1.139,1.076,9.471,-7.454,0.68,19.444,8.486,-0.958,2.257,0.735,0.947,0.776,0.833,12,99.83,0.30668,77.28,2932,5.28,226,2025-01-02,2025-12-05,8.835,8.541,9.851,9.524,0.657,0.635,0.859,0.621,-15.33,164,0.022,8.961,0.039,0.622,0.535,1.121,0.973,3.348,-3.454,-0.166,2.715,11.087,,,,,,,1,100.0,0.34838,87.79,226,3.32,0.962
total_call_monthly_volume_dev60_240_norm504,-1,2922,2013-01-02,2024-12-31,92.532,87.563,7.98,7.552,0.719,0.681,0.862,0.378,-19.96,429,0.065,6.824,0.099,0.683,0.536,1.144,0.99,8.678,-7.653,0.041,18.954,8.764,-0.512,2.811,0.726,0.942,0.771,0.75,12,99.66,0.29246,73.7,2933,5.37,226,2025-01-02,2025-12-05,7.215,7.071,8.045,7.885,0.573,0.561,0.712,0.393,-20.05,157,0.213,2.526,0.394,0.297,0.556,1.114,0.891,4.375,-3.748,0.05,6.047,11.075,,,,,,,1,99.56,0.17058,42.99,226,1.99,0.824
