signal,sign,SR_gross,SR_net,held_pct,n_bars,SR_net_oos,SR_gross_oos,SR_net_oos_realcost,n_bars_oos,mean_pos,beta_oos
oi_call_all_rank60,-1,0.021682045376591,-0.0043535789643105,98.36199836199836,3663,0.2455310808040694,0.2893767995480215,0.1840212429431963,2348,-0.07387165086251975,-0.10648112046840758
oi_call_all_selftanh20,-1,0.0195874836013434,-0.0078557132910615,99.23559923559924,3663,0.2450353987376453,0.2921020126872613,0.1789424197461044,2348,-0.04291347395948794,-0.07503873351714985
volume_put_front_chg_selftanh20,1,0.0767280750574128,-0.0357330973128387,58.96805896805897,2186,0.2411687728051157,0.3007321098425828,0.1525021833172659,1398,0.0440609475669982,0.015778029700817868
volume_both_all_selftanh120,-1,0.0288969324967024,-0.0343634999859111,99.2082992082992,3663,0.2344049612828394,0.2951268955799893,0.1477536186783393,2348,-0.010759646714972723,0.026262060781479912
volume_call_all_selftanh20,-1,0.0923585810752182,0.0152989188795631,99.29019929019928,3663,0.2336967384069021,0.2980639057930006,0.1417104890488098,2348,0.03985458349376363,0.0037753575271586895
volume_both_all_selftanh20,-1,0.0807249694815258,0.0046327299101265,99.26289926289928,3663,0.2329654828338973,0.2970254575163873,0.1414797024749784,2348,0.034862562761680246,0.019553721305436485
volume_pcr_weekly_robust60,-1,0.2498433578669453,0.1327434193001052,20.82992082992083,770,0.2308384399564927,0.2851617599250377,0.1530060750148577,2073,-0.02079616479704872,0.13211169684073107
volume_call_all_signth20,-1,0.1961897798699607,0.125584528526644,64.04586404586404,3663,0.2273405458608741,0.2881246267328134,0.1405128093275108,2348,0.07296985669576676,0.014878208034945066
oi_pcr_monthly_selftanh20,1,0.2705032013094702,0.2466644250545239,99.48129948129947,3663,0.2220721913505851,0.2428015676797279,0.1921916037251025,2348,0.000780415698472825,-0.26479164943404515
oi_put_monthly_robust20,1,0.0422405362377962,0.0187982038686154,98.96259896259896,3663,0.221582986319373,0.238287980319027,0.1974370897675766,2348,0.09485030088557553,0.07402888654350571
volume_pcr_weekly_logdev60,-1,0.1371065973359325,0.0209422828845789,21.7035217035217,799,0.2182154415421132,0.273061680083265,0.1393217664241572,2073,-0.0069257143341941605,0.15763461849051247
oi_call_all_winsor60,-1,0.0942113107635967,0.0679614013506741,98.11629811629813,3663,0.2178026563149952,0.258383414849592,0.1605988389493417,2348,-0.029179442865328593,-0.06979552487860662
oi_pcr_monthly_robust60,1,0.3883918273819848,0.3699587240792854,98.52579852579852,3663,0.2165944862820353,0.2321622584920901,0.1940519280101448,2348,0.029185117817540702,-0.17711548773323788
volume_call_all_selftanh120,-1,0.1105844689886211,0.0460374791569933,99.23559923559924,3663,0.2162799376874082,0.2779302159856305,0.1282550425832253,2348,-0.0023513189140549834,0.0011950976448145687
oi_pcr_all_chgskew60,-1,0.3319857783933552,0.327331599312027,99.42669942669944,3663,0.2103123495613378,0.2153317570424566,0.2029947592466565,2348,0.26021514657017925,0.1914977451222423
oi_pcr_all_rank120,1,0.4420241036497792,0.4244062241470968,99.29019929019928,3663,0.209103942450069,0.2370404543031208,0.1695243259834246,2348,0.012945736670470245,-0.25445459059148356
volume_pcr_weekly_rank60,-1,0.1367920459634831,0.018246853973129,21.62162162162162,799,0.207858885266356,0.2623886966568538,0.1297043003913715,2073,-0.02196245496913496,0.12670312094242603
volume_put_all_selftanh20,-1,0.0342131014106703,-0.0415069372122435,99.29019929019928,3663,0.2057016132784069,0.2694026288130269,0.1147738251191075,2348,0.03259992170153407,0.03497135473381275
volume_both_all_chg_selftanh60,1,0.1857751130355098,0.065576424156503,99.15369915369916,3663,0.2056009601717814,0.2875351116603924,0.0878415040329305,2348,0.015587742536246318,0.05217914642148221
volume_both_monthly_chg_selftanh20,1,0.1958061848334008,0.0794863569601516,99.23559923559924,3663,0.2055026702718801,0.2768029163837,0.0991755285873105,2348,0.03545300663564692,0.07330593767813688
volume_put_monthly_chg_selftanh20,1,0.1791475436731884,0.062551307485378,98.6895986895987,3663,0.2030948136872842,0.2749716543179452,0.0958015929203064,2348,0.034640848171351095,0.07501219020504439
volume_put_front_chg_selftanh60,1,0.1218434886179167,0.005748887850823,58.99535899535899,2186,0.1985617606484753,0.2561282685195465,0.1128211310909919,1398,0.03367556941346385,0.006504829662121339
oi_pcr_monthly_rank60,1,0.3791532196485246,0.359345796842088,98.71689871689873,3663,0.1947065790248119,0.2118873478441019,0.1698223425334124,2348,0.0369938322477618,-0.19065391940977425
oi_put_weekly_selftanh120,-1,0.3027075713819636,0.2018478602200267,20.775320775320775,769,0.1932108968548974,0.2401512466185849,0.1253918626611451,2073,0.019939393878892264,0.14636439469216558
volume_put_all_chg_selftanh20,1,0.1286607738327278,0.0095646229248545,98.74419874419874,3663,0.1876305664214237,0.2700863710886652,0.0689731886907301,2348,0.017395815370098818,0.06016530959612801
oi_pcr_monthly_robust20,1,0.4114126453956496,0.3855680283769741,98.74419874419874,3663,0.1865632410418216,0.209407563954936,0.1536281738033884,2348,0.029471797693579237,-0.19402659414596599
oi_both_monthly_robust20,1,0.0027118184344914,-0.0201448248306568,99.3993993993994,3663,0.1848860860576548,0.2016231338171483,0.1606864052262313,2348,0.09180591674877853,0.10264058231279462
oi_pcr_all_logdev120,1,0.4772571090171637,0.4608767304641516,99.12639912639912,3663,0.1780622801997755,0.2053255183008408,0.1394884309136475,2348,0.01171297495594769,-0.26816377164251454
oi_call_all_chg_selftanh20,1,0.0888578802806399,0.0153136186585988,98.93529893529892,3663,0.1736052659668532,0.2440915542771267,0.0733883215857221,2348,0.1260267682065182,0.1362875161634927
oi_call_all_robust20,-1,0.0845402233275796,0.0564445524117942,98.82609882609884,3663,0.1729056501467707,0.2192247684112646,0.1079405736184355,2348,-0.0434374321097191,-0.10289988279311968
oi_pcr_all_selftanh120,1,0.481581278488846,0.4650123308063017,99.23559923559924,3663,0.1708604673567942,0.1980601733891456,0.1323828749829982,2348,-0.0162950200194579,-0.2885671045045153
oi_pcr_monthly_signth60,1,0.4523209734338304,0.4366112478734925,67.64946764946765,3663,0.1664307627799616,0.1804909160296545,0.1461767326461138,2348,-0.00510624279360896,-0.24277246746376252
volume_put_monthly_robust60,1,0.1141555379691747,0.0514314458778504,98.74419874419874,3663,0.1618881236840892,0.1932959836645984,0.1160067673827965,2348,0.13758119123788923,0.11743879167968922
oi_both_all_chg_selftanh20,1,0.1264906545017038,0.0564107156207275,99.23559923559924,3663,0.1604915017358758,0.2299223711940831,0.0621783094096162,2348,0.13239130454060394,0.1467370451655077
oi_pcr_monthly_logdev60,1,0.3994756015423295,0.3823307098860301,99.42669942669944,3663,0.1583080087347534,0.1735336588402659,0.1363088592156891,2348,0.018440899849901916,-0.210964758184366
oi_pcr_monthly_selftanh60,1,0.3919271674762507,0.3746246801578363,99.31749931749933,3663,0.1526946828153078,0.1680114240558831,0.1305753267227991,2348,0.00047256151988714227,-0.22068677430994726
volume_put_all_chg_selftanh60,1,0.1155150156447802,-0.0039011633371323,99.09909909909908,3663,0.1437748466297576,0.2254512778010808,0.0264246115435138,2348,0.015075131217107093,0.057822679282552636
volume_pcr_front_rank120,1,0.7125345421600002,0.6493023052670696,58.55855855855856,2159,0.1409056073226942,0.1909858495591947,0.068571525683351,1398,0.02837307618648968,-0.14499794664599003
oi_pcr_monthly_winsor60,1,0.4976118653141687,0.4776928586321087,97.57029757029756,3663,0.1408073767714411,0.1577033754033781,0.1165135887276433,2348,0.013431304641212036,-0.12626157581039593
oi_both_all_chg_selftanh60,1,0.0840766588536789,0.0134864656298572,99.29019929019928,3663,0.1374226751441987,0.2057421404538424,0.0407202170653923,2348,0.1480015708037235,0.15357891415820774
oi_both_all_winsor20,-1,0.0720279132930516,0.0399357743330263,98.36199836199836,3663,0.1367968593460927,0.1900122648102753,0.0617352268776207,2348,-0.022574247550766962,-0.010045438656457841
oi_call_all_winsor20,-1,0.1225450390844742,0.0911054075390455,97.65219765219764,3663,0.1356685858955233,0.1824669373591129,0.0695055251271319,2348,-0.023841518324489167,-0.055506431818572045
oi_both_all_robust20,-1,0.0671871037978987,0.0381099186991552,99.31749931749933,3663,0.135279541090355,0.187197412830498,0.0622909990690132,2348,-0.03772644861773623,-0.03707957755790292
volume_pcr_front_rank60,1,0.5296440364302204,0.464080092639983,58.77695877695878,2186,0.1343688018283854,0.1853441224162704,0.0607874521544571,1398,0.02461158570791691,-0.1586456191934982
oi_put_weekly_rank120,-1,0.2601189792229565,0.1592590511018171,20.91182091182091,769,0.1295755534443581,0.1781578414925387,0.0592552023048468,2073,-0.006010960900970252,0.10686311971045231
