event,offset,hold,window,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_abs_exec_w,full_turnover_ann,full_held_pct,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
durable_goods,-2,2,ongap,durable_goods|off-2|h2|ongap,-1,-0.1581549970565069,-0.329884368145475,-0.3061279000146444,-0.4433596308072228,0.3,-2.1582497095528432,10,-0.1746302244869508,0.0980565371024735,24.598939929328623,9.80565371024735,2264,-1.781,False,False,True,False,False,1,False
durable_goods,-2,2,night,durable_goods|off-2|h2|night,-1,0.5172204106323601,-0.6654345462314885,-0.4958699987007665,-0.565779152684807,0.4,-2.2177610964702468,10,-0.0878348014558611,0.0980565371024735,24.598939929328623,9.80565371024735,2264,-0.896,False,False,True,False,True,1,False
durable_goods,-1,1,c2c,durable_goods|off-1|h1|c2c,1,0.0633645755178138,0.541361465809548,0.2680208274188529,0.2952388900044055,0.4705882352941176,-0.909312073721082,17,0.0144227261005979,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.453,False,False,True,False,True,1,False
durable_goods,-1,1,o2o,durable_goods|off-1|h1|o2o,1,0.3127534366377121,0.3895146887855834,0.3346968355841767,0.4997942017080898,0.7647058823529411,-1.6213540302108522,17,0.015223027358905,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.478,False,True,True,False,True,2,False
durable_goods,-1,1,day,durable_goods|off-1|h1|day,1,0.0636571742827866,-0.6583428445541495,-0.2298745525463577,-0.2329002010220955,0.4705882352941176,-2.184574768756211,17,0.0173014934155529,0.0318145483613109,16.03453237410072,3.181454836131095,6255,0.544,False,False,True,False,True,1,False
durable_goods,-1,1,ongap,durable_goods|off-1|h1|ongap,-1,-0.3825399290521747,-0.124406228267737,-0.1338092527280543,-0.353928337660416,0.4,-1.577135860578396,10,-0.1603113602751507,0.0490282685512367,24.598939929328623,4.902826855123675,2264,-3.27,False,False,True,False,False,1,False
durable_goods,-1,1,night,durable_goods|off-1|h1|night,1,-0.2334857386951678,-0.039757184212471,-0.0587078869416787,-0.3310645346652001,0.3,-1.2642471547083596,10,0.0463528132780069,0.0490282685512367,24.598939929328623,4.902826855123675,2264,0.945,False,False,True,False,True,1,False
durable_goods,-1,2,c2c,durable_goods|off-1|h2|c2c,1,0.5410585279766462,0.8129942242542586,0.6311657155685623,0.8451498509774925,0.7647058823529411,-0.3860021513644415,17,0.0318302323685631,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.5,True,True,True,False,True,3,False
durable_goods,-1,2,o2o,durable_goods|off-1|h2|o2o,1,0.3155863212609261,0.1771608798251416,0.2421863820796723,0.4587490070549061,0.5882352941176471,-0.8666108729505518,17,0.0355204379183408,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.558,False,False,True,False,True,1,False
durable_goods,-1,2,day,durable_goods|off-1|h2|day,1,-0.0468425379900151,-0.6598734903554293,-0.2959430047763935,-0.496907907544746,0.2941176470588235,-2.1896142368680724,17,0.0349065691609907,0.0636290967226219,16.03453237410072,6.36290967226219,6255,0.549,False,False,True,False,True,1,False
durable_goods,-1,2,ongap,durable_goods|off-1|h2|ongap,1,-0.2251884899306498,0.318230234364648,0.2673785794024578,0.1822371018987793,0.6,-2.261095694008864,10,0.1866841565136016,0.0976148409893992,24.710247349823323,9.76148409893993,2264,1.912,False,False,True,False,False,1,False
durable_goods,-1,2,night,durable_goods|off-1|h2|night,1,-0.1145296936468155,0.4430952875214344,0.377814108174128,0.3541698736644245,0.8,-0.7239738824031117,10,0.0813655581837915,0.0976148409893992,24.710247349823323,9.76148409893993,2264,0.834,False,True,True,False,True,2,False
durable_goods,0,1,c2c,durable_goods|off0|h1|c2c,1,0.5432326142849951,0.5309317834946206,0.5209105299905735,0.7540447649088192,0.8235294117647058,-1.100638983557166,17,0.0173183705335933,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.544,True,True,True,False,True,3,False
durable_goods,0,1,o2o,durable_goods|off0|h1|o2o,1,0.0235789156753245,-0.1402993026634297,-0.0505167754206743,-0.1070442533346095,0.3529411764705882,-1.5883040171430534,17,0.0203190829437561,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.639,False,False,True,False,True,1,False
durable_goods,0,1,day,durable_goods|off0|h1|day,-1,-0.0056105823105542,0.1871731279153556,0.0745296753458372,0.1785324136923186,0.5882352941176471,-1.2263836027889643,17,-0.0177345398347985,0.0318145483613109,16.03453237410072,3.181454836131095,6255,-0.557,False,False,True,False,True,1,False
