frac,p,rep,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old
0.05,0.52,10,1,2264,0.05726990108709143,-0.07323181446915764,-0.26512411939770064,0.4,-2.119600909281492,10,0.013476554227241757,0.00530035335689046,0.04946996466431095,-7.71939199575228,2102,24.710247349823323,4.946996466431095,2017-05-16,2026-09-01,0.04946996466431095,0.272,False,False,True,False,True,1,False,False
0.05,0.52,11,1,2264,0.6147391384706633,0.5116143467423089,0.3671259492747252,0.6,-1.017508355790237,10,0.004858171268996413,-0.00044169611307420494,0.05167844522968198,-7.501900588311565,1022,25.60070671378092,5.167844522968198,2017-05-16,2026-09-01,0.05167844522968198,0.094,False,False,True,True,True,2,False,False
0.05,0.52,12,1,2264,0.17290499609879326,0.05618087762228769,0.07869262441450388,0.4,-2.2834688960872294,10,-0.005460444858207806,0.001325088339222615,0.05167844522968198,-9.39351447597069,1662,25.37809187279152,5.167844522968198,2017-05-16,2026-09-01,0.05167844522968198,-0.106,False,False,True,True,True,2,False,False
0.05,0.52,13,1,2264,-0.03205202744554208,-0.19503690027848725,-0.32067864559169756,0.4,-2.0090485950907535,10,-0.0013319051316340832,-0.005742049469964664,0.05786219081272085,-10.274167487011278,2263,28.272084805653712,5.786219081272085,2017-05-16,2026-09-01,0.05786219081272085,-0.023,False,False,True,True,True,2,False,False
0.05,0.52,14,1,2264,-0.17675997953864941,-0.31541121561582036,-0.5034986272261542,0.3,-2.796467504702462,10,0.0034576422024677547,0.003975265017667844,0.05167844522968198,-7.394145514409056,1172,25.71201413427562,5.167844522968198,2017-05-16,2026-09-01,0.05167844522968198,0.067,False,False,True,True,True,2,False,False
0.05,0.52,15,1,2264,0.3230671762550235,0.22376936434260947,0.007444946554302565,0.5,-2.1176535449686607,10,-0.027931793067799544,0.00530035335689046,0.046819787985865724,-6.235646799072043,1654,23.151943462897528,4.681978798586572,2017-05-16,2026-09-01,0.046819787985865724,-0.597,False,False,True,False,True,1,False,False
0.05,0.52,16,1,2264,0.18883453040796994,0.060275134693885776,0.027977354778475825,0.6,-1.1468453607296594,10,0.025967037291222593,0.007950530035335688,0.05742049469964664,-10.324110403637706,2152,27.82685512367491,5.742049469964664,2017-05-16,2026-09-01,0.05742049469964664,0.452,False,False,True,False,True,1,False,False
0.05,0.52,17,1,2264,-0.659555593579573,-0.7396344825229273,-0.342372999422134,0.5,-2.460312455518476,10,0.04664899371101909,0.0,0.05035335689045936,-29.798694139983713,1706,25.15547703180212,5.035335689045936,2017-05-16,2026-09-01,0.05035335689045936,0.926,False,False,True,False,True,1,False,False
0.05,0.52,18,1,2264,-0.22550730869986466,-0.35490212007832084,-0.2866273029878162,0.3,-2.4348507943104982,10,0.003084352792271394,0.00044169611307420494,0.0446113074204947,-10.234616301114793,2174,22.26148409893993,4.46113074204947,2017-05-16,2026-09-01,0.0446113074204947,0.069,False,False,True,True,True,2,False,False
0.05,0.52,19,1,2264,0.12763303069668383,0.019550211638194804,-0.07810532240582956,0.4,-2.133861025093627,10,0.03304302253833574,0.008392226148409895,0.04902826855123675,-9.849500699723265,2073,24.042402826855124,4.902826855123675,2017-05-16,2026-09-01,0.04902826855123675,0.674,False,False,True,False,True,1,False,False
0.05,0.52,20,1,2264,0.5190234861604528,0.4109050715733002,0.21393088366249594,0.6,-1.6453740726857053,10,0.004896181694405398,-0.006183745583038869,0.044169611307420496,-4.669030717834435,1759,21.92756183745583,4.41696113074205,2017-05-16,2026-09-01,0.044169611307420496,0.111,False,False,True,True,True,2,False,False
0.05,0.52,21,1,2264,-0.19972461972333758,-0.33254171102192487,-0.5206069417330895,0.3,-1.498249935321383,10,-0.023195289448225017,-0.00441696113074205,0.053003533568904596,-8.885755986072791,2263,26.045936395759718,5.30035335689046,2017-05-16,2026-09-01,0.053003533568904596,-0.438,False,False,True,False,True,1,False,False
0.05,0.52,22,1,2264,-0.33655244131392176,-0.4511988240327245,-0.48053124376990114,0.4,-1.3705783360814519,10,-0.024045483412552818,-0.001325088339222615,0.04991166077738516,-12.657240390193794,2118,25.26678445229682,4.991166077738516,2017-05-16,2026-09-01,0.04991166077738516,-0.482,False,False,True,False,True,1,False,False
0.05,0.52,23,1,2264,0.3701580110649019,0.22445342174475388,0.3206830162718912,0.6,-1.1545946259761677,10,0.0035267432876862448,-0.0035335689045936395,0.04858657243816254,-3.9568797678143945,691,23.708480565371026,4.858657243816254,2017-05-16,2026-09-01,0.04858657243816254,0.073,False,False,True,True,True,2,False,False
0.05,0.52,24,1,2264,0.21370809872078952,0.07941949380933999,-0.07308508747113987,0.5,-1.533099416670415,10,-0.014728833235358965,-0.00441696113074205,0.04770318021201413,-6.844405885845556,1954,23.708480565371026,4.770318021201414,2017-05-16,2026-09-01,0.04770318021201413,-0.309,False,False,True,False,True,1,False,False
0.05,0.52,25,1,2264,0.29079879769975464,0.18377065116465272,0.06349567885816974,0.5,-1.942962104362903,10,-0.025177370555763908,0.008392226148409895,0.04902826855123675,-6.491905099920289,1571,24.265017667844525,4.902826855123675,2017-05-16,2026-09-01,0.04902826855123675,-0.514,False,False,True,False,True,1,False,False
0.05,0.52,26,1,2264,0.24092265169674082,0.12812735998303826,0.05891948702772363,0.7,-2.536810496230673,10,-0.0026794533377806173,0.0017667844522968198,0.05123674911660778,-8.625673936224254,1585,25.15547703180212,5.123674911660777,2017-05-16,2026-09-01,0.05123674911660778,-0.052,False,True,True,True,True,3,False,False
0.05,0.52,27,1,2264,-0.09812621120330636,-0.19336822056300632,-0.4771016743702264,0.3,-1.5571430843645864,10,0.020219928190341265,-0.0017667844522968198,0.052120141342756186,-11.100815525167485,2166,25.15547703180212,5.212014134275619,2017-05-16,2026-09-01,0.052120141342756186,0.388,False,False,True,False,True,1,False,False
0.05,0.52,28,1,2264,-0.18834092467749888,-0.3150079828687133,-0.24655869395836438,0.4,-1.5127738181787438,10,-0.010811191992654203,0.003975265017667844,0.04991166077738516,-7.831584099069929,2127,23.931095406360424,4.991166077738516,2017-05-16,2026-09-01,0.04991166077738516,-0.217,False,False,True,False,True,1,False,False
0.05,0.52,29,1,2264,0.29798036907774467,0.1702719262296992,0.26461017887610455,0.6,-1.063488709171544,10,-0.005489981100967458,-0.0035335689045936395,0.053886925795053005,-5.844518234583152,446,26.26855123674912,5.3886925795053005,2017-05-16,2026-09-01,0.053886925795053005,-0.102,False,False,True,True,True,2,False,False
0.05,0.52,30,1,2264,0.5811189970385932,0.4427198104181445,0.08251107857497099,0.6,-2.3902634317820746,10,0.0035974226570881602,0.0035335689045936395,0.04858657243816254,-5.162406106205794,708,23.597173144876326,4.858657243816254,2017-05-16,2026-09-01,0.04858657243816254,0.074,False,False,True,True,True,2,False,False
0.05,0.52,31,1,2264,-0.05319500637366111,-0.2004004272338985,-0.5011106965262399,0.4,-1.885062888927724,10,-0.012491057527084215,0.0017667844522968198,0.05653710247349823,-8.828420194333175,1638,27.93816254416961,5.6537102473498235,2017-05-16,2026-09-01,0.05653710247349823,-0.221,False,False,True,False,True,1,False,False
0.05,0.52,32,1,2264,0.5294846574555575,0.41521095365496513,0.23592399253018306,0.6,-1.4671644006654907,10,-0.005987137264487408,0.0008833922261484099,0.05035335689045936,-3.5959321437558653,568,25.37809187279152,5.035335689045936,2017-05-16,2026-09-01,0.05035335689045936,-0.119,False,False,True,True,True,2,False,False
0.05,0.52,33,1,2264,-0.1922821657382742,-0.3052929027309565,-0.21982381623388475,0.4,-2.0268726451294454,10,0.005993045577559856,-0.0035335689045936395,0.04858657243816254,-13.966956654481288,1461,24.821554770318023,4.858657243816254,2017-05-16,2026-09-01,0.04858657243816254,0.123,False,False,True,True,True,2,False,False
0.05,0.52,34,1,2264,-0.790073195846936,-0.9377730096372854,-1.8468499466125885,0.0,-2.02128292522212,10,0.0030620541527603515,-0.003975265017667844,0.04726148409893993,-18.680797606401427,2219,23.263250883392228,4.726148409893993,2017-05-16,2026-09-01,0.04726148409893993,0.065,False,False,True,True,True,2,False,False
0.05,0.52,35,1,2264,-0.2983995034475332,-0.41415818939817584,-0.5584879325348295,0.2,-2.386932370266661,10,0.0018282513088924207,-0.0066254416961130744,0.0446113074204947,-12.84291588184095,1965,21.704946996466433,4.46113074204947,2017-05-16,2026-09-01,0.0446113074204947,0.041,False,False,True,True,True,2,False,False
0.05,0.52,36,1,2264,0.6224710492077133,0.5137949396664366,0.5518389340326413,0.8,-1.6164314401696858,10,-0.0011644452400100098,-0.00044169611307420494,0.04549469964664311,-8.029045836606347,1426,22.59540636042403,4.54946996466431,2017-05-16,2026-09-01,0.04549469964664311,-0.026,False,True,True,True,True,3,False,False
0.05,0.52,37,1,2264,0.10792050154410708,-0.04762527947050322,-0.15988307447090222,0.4,-1.5800236147399782,10,-0.007282552673594899,-0.007067137809187279,0.05565371024734982,-6.0739148033962165,2227,26.491166077738516,5.565371024734982,2017-05-16,2026-09-01,0.05565371024734982,-0.131,False,False,True,True,True,2,False,False
0.05,0.52,38,1,2264,0.02970422259744012,-0.07061901140684163,-0.1399450872045323,0.4,-1.5450013543469583,10,0.03989603415122073,0.001325088339222615,0.04902826855123675,-12.451658734436059,1879,24.37632508833922,4.902826855123675,2017-05-16,2026-09-01,0.04902826855123675,0.814,False,False,True,False,True,1,False,False
0.05,0.52,39,1,2264,0.6494809007411289,0.47238995597055494,0.27942052489858465,0.6,-1.933534323122918,10,0.0011395234848009287,0.004858657243816254,0.04902826855123675,-4.242104045258986,1368,24.37632508833922,4.902826855123675,2017-05-16,2026-09-01,0.04902826855123675,0.023,False,False,True,True,True,2,False,False
0.05,0.52,40,1,2264,0.3407996744762372,0.20674718316000681,0.36623507985437403,0.7,-1.0105784045467914,10,0.004070563973043813,-0.001325088339222615,0.04549469964664311,-3.6489578142359016,592,22.03886925795053,4.54946996466431,2017-05-16,2026-09-01,0.04549469964664311,0.089,False,True,True,True,True,3,False,False
0.05,0.52,41,1,2264,-0.4938185490863643,-0.622570392693165,-0.3374935850537377,0.3,-2.742345957125234,10,0.022839691478865144,0.0066254416961130744,0.054328621908127206,-15.818394344774406,1177,25.71201413427562,5.43286219081272,2017-05-16,2026-09-01,0.054328621908127206,0.42,False,False,True,False,True,1,False,False
