panel,feature,transform,window,variant,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly,put_oi_total,signth,20,c2c,monthly|put_oi_total|signth|w20|c2c,-1,0.0931594941880904,0.263457006325306,0.171135968959277,0.2488705266095664,0.5555555555555556,-1.283950539090095,18,0.0492118297241698,0.028781579788935,0.4608250719539494,34.45155100735529,46.08250719539495,1931,6254,0.107,False,False,True,True,True,2,False
monthly,put_oi_total,signth,20,o2o,monthly|put_oi_total|signth|w20|o2o,-1,0.1507384524518303,0.2526858371385257,0.195143743640237,0.2260508239218452,0.4444444444444444,-1.8120250618664024,18,0.0319915444010424,0.028781579788935,0.4608250719539494,34.45155100735529,46.08250719539495,1932,6254,0.069,False,False,True,True,True,2,False
monthly,put_oi_total,signth,20,day,monthly|put_oi_total|signth|w20|day,-1,0.2137658255919047,-0.1200171291025296,0.0706118339896114,0.1098826996815406,0.5555555555555556,-2.441404373265509,18,0.0257656526939323,0.0289368505195843,0.4609112709832134,34.44604316546763,46.091127098321344,1932,6255,0.056,False,False,True,True,True,2,False
monthly,put_oi_total,signth,60,c2c,monthly|put_oi_total|signth|w60|c2c,-1,0.0538819577404544,0.3308038715037303,0.1865151788733802,0.2163501916203271,0.5555555555555556,-1.9074688998985223,18,0.0649388031121411,0.0551646945954589,0.4584266069715382,34.0486088903102,45.84266069715382,1950,6254,0.142,False,False,True,True,True,2,False
monthly,put_oi_total,signth,60,o2o,monthly|put_oi_total|signth|w60|o2o,-1,0.0449240533839302,0.2320770185501849,0.1330874177534547,0.1380131389558817,0.4444444444444444,-2.681428981220826,18,0.0403298298768056,0.0551646945954589,0.4584266069715382,34.0486088903102,45.84266069715382,1949,6254,0.088,False,False,True,True,True,2,False
monthly,put_oi_total,signth,60,day,monthly|put_oi_total|signth|w60|day,-1,0.1632771866788691,-0.1039901826253913,0.0432133348921233,0.0938756863300406,0.5555555555555556,-2.5082741280707377,18,0.0435528660476777,0.0553157474020783,0.4585131894484412,34.043165467625904,45.85131894484413,1949,6255,0.095,False,False,True,True,True,2,False
monthly,put_oi_total,signth,120,c2c,monthly|put_oi_total|signth|w120|c2c,-1,0.0939137805763636,0.3922316324479675,0.2379383510636384,0.2559387239707598,0.6666666666666666,-1.736608027287027,18,0.078139499869359,0.0741925167892548,0.4518708026862807,32.75919411576591,45.18708026862808,1980,6254,0.173,False,True,True,False,True,2,False
monthly,put_oi_total,signth,120,o2o,monthly|put_oi_total|signth|w120|o2o,-1,0.0500097504301237,0.2752960901554495,0.1572307308634255,0.124024771944946,0.6111111111111112,-2.568163983718158,18,0.0656000074432195,0.0741925167892548,0.4518708026862807,32.75919411576591,45.18708026862808,1979,6254,0.145,False,False,True,True,True,2,False
monthly,put_oi_total,signth,120,day,monthly|put_oi_total|signth|w120|day,-1,0.203586628926489,-0.2501511651592717,-0.0031577945421453,-0.003938524178783,0.6666666666666666,-2.505394756175239,18,0.0654406311542314,0.0743405275779376,0.4519584332533973,32.753956834532374,45.19584332533973,2723,6255,0.145,False,True,True,True,True,3,False
monthly,put_oi_total,signth,252,c2c,monthly|put_oi_total|signth|w252|c2c,1,-0.0320888792654111,-0.589873705207376,-0.3148623641519849,-0.3651626171645676,0.4444444444444444,-2.2075450176255003,18,-0.1151297246767999,-0.0919411576590981,0.4555484489926447,31.066837224176528,45.55484489926447,2214,6254,-0.253,False,False,True,False,True,1,False
monthly,put_oi_total,signth,252,o2o,monthly|put_oi_total|signth|w252|o2o,-1,-0.0533584941523381,0.4011098339783221,0.1759781995872188,0.1640747215561752,0.6111111111111112,-1.6353324343119904,18,0.086494587056851,0.0919411576590981,0.4555484489926447,31.066837224176528,45.55484489926447,2051,6254,0.19,False,False,True,False,True,1,False
monthly,put_oi_total,signth,252,day,monthly|put_oi_total|signth|w252|day,-1,0.1957922730050927,-0.314405889277658,-0.0494125269664013,-0.0403549041923019,0.5555555555555556,-1.9042787734048936,18,0.0736188442389254,0.0920863309352518,0.4556354916067146,31.061870503597124,45.56354916067146,2723,6255,0.162,False,False,True,False,True,1,False
monthly,put_oi_total,dev,20,c2c,monthly|put_oi_total|dev|w20|c2c,-1,0.0659708980851528,0.1346612602721304,0.0964856893986466,0.0711322895840242,0.6111111111111112,-1.5858585094047184,18,3124.451670138485,423.427833604371,85894.99919401239,8307999.285083257,100.0,3616,4324,0.036,False,False,True,False,False,1,False
monthly,put_oi_total,dev,20,o2o,monthly|put_oi_total|dev|w20|o2o,-1,0.0939484609230628,0.0858920080556681,0.0887587714645149,0.0107065117033441,0.4444444444444444,-3.003992643710715,18,4292.019331872564,423.427833604371,85894.99919401239,8307999.285083257,100.0,2843,4324,0.05,False,False,True,False,False,1,False
monthly,put_oi_total,dev,20,day,monthly|put_oi_total|dev|w20|day,-1,0.3253489306554034,-0.1406007369125699,0.1209909752783395,-0.0079382950818198,0.5,-2.9295719040236654,18,4439.724058401516,427.11616242897145,85878.92530980568,8306176.197572255,100.0,2691,4325,0.052,False,False,True,False,False,1,False
monthly,put_oi_total,dev,60,c2c,monthly|put_oi_total|dev|w60|c2c,-1,-0.0852753508426765,0.2489626864155642,0.0758754339010504,0.0540781037363924,0.5555555555555556,-1.915222512928655,18,3563.017044250649,1521.246757533764,89653.50904297404,8412594.78678306,100.0,3616,4304,0.04,False,False,True,False,False,1,False
monthly,put_oi_total,dev,60,o2o,monthly|put_oi_total|dev|w60|o2o,-1,-0.0941482921311646,0.2145388312798677,0.0528944620026751,-0.0262395366183061,0.5,-3.3507320025976277,18,2812.011848141428,1521.246757533764,89653.50904297404,8412594.78678306,100.0,2150,4304,0.031,False,False,True,False,False,1,False
