kind,frac,rep,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old,passes_new
two_sided,0.15,12,1,2264,-0.38637625453425956,-0.575076439477017,-0.6412833067420268,0.3,-2.4460550563774466,10,-0.007581697961992804,-0.01060070671378092,0.14840989399293286,-29.795432413057288,1833,69.12190812720848,14.840989399293287,2017-05-16,2026-09-01,0.14840989399293286,-0.051,False,False,True,True,True,2,False,False,False
two_sided,0.15,13,1,2264,-0.5338123123241089,-0.7189446735056874,-0.8790285069855216,0.1,-3.0591574317431514,10,0.0011710031603752123,0.007067137809187279,0.142226148409894,-34.122536600315776,2263,67.89752650176679,14.2226148409894,2017-05-16,2026-09-01,0.142226148409894,0.008,False,False,True,True,True,2,False,False,False
two_sided,0.15,14,1,2264,-0.08273858168720742,-0.28721548244790523,-0.3328067162109139,0.3,-1.4191859681219925,10,-0.04320345346020282,-0.005742049469964664,0.15326855123674912,-21.269027910021805,2143,71.57067137809187,15.326855123674912,2017-05-16,2026-09-01,0.15326855123674912,-0.282,False,False,True,False,True,1,False,False,False
two_sided,0.15,15,1,2264,-0.00097646299432719,-0.18203933907594716,-0.16668602820143308,0.5,-2.3590155026198056,10,0.002143420663750142,-0.016342756183745585,0.15061837455830387,-13.096000851150219,2002,70.34628975265018,15.061837455830387,2017-05-16,2026-09-01,0.15061837455830387,0.014,False,False,True,True,True,2,False,False,False
two_sided,0.15,16,1,2264,-0.12204003975399487,-0.32807480212569623,-0.24533699689230457,0.4,-2.3892735154894575,10,0.034546944872220514,0.011925795053003533,0.15326855123674912,-30.310335186660737,2082,70.45759717314488,15.326855123674912,2017-05-16,2026-09-01,0.15326855123674912,0.225,False,False,True,False,True,1,False,False,False
two_sided,0.15,17,1,2264,0.2592188052315084,0.06949233333446114,-0.2990354342282777,0.4,-1.7519334366259551,10,-0.05431640769705891,-0.014575971731448763,0.1523851590106007,-13.954904053200345,1017,70.68021201413427,15.23851590106007,2017-05-16,2026-09-01,0.1523851590106007,-0.356,False,False,True,False,True,1,False,False,False
two_sided,0.15,18,1,2264,-0.15026983919398768,-0.35633230965661106,-0.3494065780907837,0.4,-3.0780991582391355,10,0.05067393003609048,-0.004858657243816254,0.15061837455830387,-18.494837701665357,1642,69.90106007067138,15.061837455830387,2017-05-16,2026-09-01,0.15061837455830387,0.336,False,False,True,False,True,1,False,False,False
two_sided,0.15,19,1,2264,-0.39588659343141164,-0.6035693757681618,-0.6995510411333282,0.2,-2.7984385948400834,10,0.00209624912382064,-0.005742049469964664,0.14620141342756185,-28.964517998361593,1480,68.89929328621908,14.620141342756185,2017-05-16,2026-09-01,0.14620141342756185,0.014,False,False,True,True,True,2,False,False,False
two_sided,0.15,20,1,2264,0.7994676192971808,0.6379974441942162,0.5129182486750152,0.7,-0.8573021723863756,10,0.042645142456739324,0.0,0.14929328621908128,-8.553332492922374,1352,69.01060070671379,14.929328621908128,2017-05-16,2026-09-01,0.14929328621908128,0.286,False,True,True,False,True,2,False,False,False
two_sided,0.15,21,1,2264,-0.07971534143213521,-0.2929934333736427,-0.25773008608269454,0.4,-3.1551439734238764,10,0.019932140041287984,-0.00265017667844523,0.15636042402826855,-20.03036115287871,2060,72.57243816254417,15.636042402826856,2017-05-16,2026-09-01,0.15636042402826855,0.127,False,False,True,True,True,2,False,False,False
two_sided,0.15,22,1,2264,0.32374994125441414,0.13109238621212974,-0.041126132147369536,0.5,-2.2641713369439422,10,-0.01631072757845699,-0.002208480565371025,0.14708480565371024,-13.960261939670609,2148,67.6749116607774,14.708480565371024,2017-05-16,2026-09-01,0.14708480565371024,-0.111,False,False,True,True,True,2,False,False,False
two_sided,0.15,23,1,2264,-0.17128477539423503,-0.38784412959079745,-0.4527182480131032,0.4,-1.9646550225009016,10,0.030045927165549293,0.0,0.1519434628975265,-25.892115995207156,2050,72.01590106007066,15.19434628975265,2017-05-16,2026-09-01,0.1519434628975265,0.198,False,False,True,False,True,1,False,False,False
two_sided,0.15,24,1,2264,-0.46098218541619435,-0.6302607250592132,-0.4266438835850137,0.2,-3.5140918821835565,10,-0.050449298053436765,0.012367491166077738,0.15459363957597172,-36.50261310157534,1882,71.90459363957596,15.459363957597173,2017-05-16,2026-09-01,0.15459363957597172,-0.326,False,False,True,False,True,1,False,False,False
two_sided,0.15,25,1,2264,-0.18851474218400038,-0.38365606685891523,-0.32371669052126467,0.4,-2.413576105765164,10,0.027523673977610217,0.002208480565371025,0.13648409893992933,-15.203126881496267,2263,65.6713780918728,13.648409893992932,2017-05-16,2026-09-01,0.13648409893992933,0.202,False,False,True,False,True,1,False,False,False
two_sided,0.15,26,1,2264,-0.0031787380309107062,-0.1958128755620466,-0.2961582697123708,0.4,-1.9817693332987036,10,-0.004280749225395395,-0.00441696113074205,0.14752650176678445,-18.7091310145995,2050,68.34275618374558,14.752650176678445,2017-05-16,2026-09-01,0.14752650176678445,-0.029,False,False,True,True,True,2,False,False,False
two_sided,0.15,27,1,2264,0.09798667192136108,-0.10656962259033748,-0.055886901229143825,0.4,-1.964687469413258,10,-0.013333305510429822,-0.018551236749116608,0.15282685512367492,-23.91771996635163,1573,71.90459363957596,15.282685512367491,2017-05-16,2026-09-01,0.15282685512367492,-0.087,False,False,True,True,True,2,False,False,False
two_sided,0.15,28,1,2264,0.2841761632852364,0.06516811617631474,0.01673325626233336,0.6,-2.1586813591678315,10,-0.0242181462625391,0.0008833922261484099,0.14929328621908128,-14.088920748203032,1497,70.79151943462898,14.929328621908128,2017-05-16,2026-09-01,0.14929328621908128,-0.162,False,False,True,False,True,1,False,False,False
two_sided,0.15,29,1,2264,0.3347156981479331,0.13541116979924336,-0.12999085782106307,0.5,-2.027897613411898,10,0.004289834527509272,0.006183745583038869,0.15459363957597172,-15.036845219801187,2020,73.01766784452298,15.459363957597173,2017-05-16,2026-09-01,0.15459363957597172,0.028,False,False,True,True,True,2,False,False,False
two_sided,0.15,30,1,2264,0.08444879103579024,-0.11544895426032267,-0.21008997476673702,0.5,-2.0672584565271124,10,-0.02559257342778529,0.00265017667844523,0.15724381625441697,-24.24125395247684,2234,72.46113074204946,15.724381625441698,2017-05-16,2026-09-01,0.15724381625441697,-0.163,False,False,True,False,True,1,False,False,False
two_sided,0.15,31,1,2264,0.3099893595250789,0.11790656750077613,0.10169129086100633,0.7,-1.0275105761745922,10,0.02488393407265474,0.0,0.15371024734982333,-12.288245480244228,1563,72.57243816254417,15.371024734982333,2017-05-16,2026-09-01,0.15371024734982333,0.162,False,True,True,False,True,2,False,False,False
two_sided,0.15,32,1,2264,-0.06549048009710648,-0.2593717414470936,-0.44939558875463365,0.3,-2.393128372390394,10,0.00210952490376629,0.00044169611307420494,0.15503533568904593,-23.654389179686003,2183,70.56890459363957,15.503533568904594,2017-05-16,2026-09-01,0.15503533568904593,0.014,False,False,True,True,True,2,False,False,False
two_sided,0.15,33,1,2264,-0.019888217795748384,-0.2272517089698891,-0.18618700891194012,0.5,-1.168773912081409,10,-0.0261355469156146,-0.00265017667844523,0.15547703180212014,-21.015219190938144,1378,71.68197879858658,15.547703180212014,2017-05-16,2026-09-01,0.15547703180212014,-0.168,False,False,True,False,True,1,False,False,False
two_sided,0.15,34,1,2264,-0.305658915144686,-0.4619030543622552,-0.6806484087163889,0.2,-3.182155654058994,10,-0.04170594551674065,0.014575971731448763,0.1515017667844523,-25.898591768354677,2240,70.45759717314488,15.150176678445229,2017-05-16,2026-09-01,0.1515017667844523,-0.275,False,False,True,False,True,1,False,False,False
two_sided,0.15,35,1,2264,-0.13615647969693925,-0.3374609335460005,-0.3081746361245894,0.3,-1.7550087340993288,10,0.014724875908478825,-0.002208480565371025,0.15415194346289754,-22.707156096631753,2075,74.01943462897526,15.415194346289754,2017-05-16,2026-09-01,0.15415194346289754,0.096,False,False,True,True,True,2,False,False,False
two_sided,0.15,36,1,2264,-0.6116716048052961,-0.8193021914825585,-1.115480316962937,0.1,-2.5841532947413137,10,-0.023977392246482994,0.00530035335689046,0.14752650176678445,-34.06690288676727,2012,69.12190812720848,14.752650176678445,2017-05-16,2026-09-01,0.14752650176678445,-0.163,False,False,True,False,True,1,False,False,False
two_sided,0.15,37,1,2264,0.1891553750190425,-0.030950585656723442,-0.11507172128435968,0.5,-1.4675018618313223,10,0.015169658589278809,0.006183745583038869,0.15106007067137808,-15.733541100088297,1903,71.34805653710248,15.106007067137808,2017-05-16,2026-09-01,0.15106007067137808,0.1,False,False,True,True,True,2,False,False,False
two_sided,0.15,38,1,2264,0.32482118155450335,0.15296989279204715,-0.12223828215309102,0.7,-3.0493149317470367,10,0.04279856560028077,-0.005742049469964664,0.1523851590106007,-12.30704966951979,604,71.79328621908128,15.23851590106007,2017-05-16,2026-09-01,0.1523851590106007,0.281,False,True,True,False,True,2,False,False,False
two_sided,0.15,39,1,2264,0.22973341243437,0.08260416399637523,0.01145782545609189,0.5,-2.4432937622681337,10,-0.00905199221817431,0.02429328621908127,0.14443462897526502,-19.895900765751595,942,68.78798586572438,14.443462897526501,2017-05-16,2026-09-01,0.14443462897526502,-0.063,False,False,True,True,True,2,False,False,False
two_sided,0.15,40,1,2264,0.03533984302865747,-0.14886565616344133,-0.2706284126987691,0.4,-2.498513112323711,10,0.01203382487689675,0.0017667844522968198,0.1413427561837456,-13.792168895018445,2097,65.0035335689046,14.13427561837456,2017-05-16,2026-09-01,0.1413427561837456,0.085,False,False,True,True,True,2,False,False,False
two_sided,0.15,41,1,2264,0.6626048194425025,0.4698712263432086,0.6202891183018236,0.8,-0.9503684525687597,10,0.03232724592838465,0.0008833922261484099,0.1439929328621908,-9.713133312065283,394,68.67667844522968,14.39929328621908,2017-05-16,2026-09-01,0.1439929328621908,0.225,True,True,True,False,True,3,False,True,False
two_sided,0.15,42,1,2264,0.43584788789568873,0.23195116498399038,0.21178238182112724,0.6,-1.3106607404693713,10,-0.024494400769715076,-0.004858657243816254,0.1435512367491166,-8.371247245407424,1201,68.56537102473499,14.35512367491166,2017-05-16,2026-09-01,0.1435512367491166,-0.171,False,False,True,False,True,1,False,False,False
