grid,cell,SR_pre,SR_post,dSR
QNT-12 522-cell sweep,us_dxy_broad_level|selfz|w60,0.257,0.19,-0.067
QNT-12 522-cell sweep,us_dxy_broad_level|selfz|w120,0.392,0.321,-0.07100000000000001
QNT-12 522-cell sweep,us_dxy_broad_level|selfz|w252,0.347,0.31,-0.03699999999999998
QNT-12 522-cell sweep,us_dxy_broad_level|robustz|w60,0.364,0.305,-0.059
QNT-12 522-cell sweep,us_dxy_broad_level|robustz|w120,0.402,0.33,-0.07200000000000001
QNT-12 522-cell sweep,us_dxy_broad_level|robustz|w252,0.314,0.288,-0.026000000000000023
QNT-12 522-cell sweep,us_dxy_broad_level|bdtanh|w60,0.197,0.129,-0.068
QNT-12 522-cell sweep,us_dxy_broad_level|bdtanh|w120,0.364,0.292,-0.07200000000000001
QNT-12 522-cell sweep,us_dxy_broad_level|bdtanh|w252,0.354,0.337,-0.01699999999999996
QNT-12 522-cell sweep,us_dxy_broad_level|rankc|w60,0.227,0.162,-0.065
QNT-12 522-cell sweep,us_dxy_broad_level|rankc|w120,0.341,0.308,-0.03300000000000003
QNT-12 522-cell sweep,us_dxy_broad_level|rankc|w252,0.395,0.384,-0.01100000000000001
QNT-12 522-cell sweep,us_dxy_broad_level|signth|w60,0.225,0.1,-0.125
QNT-12 522-cell sweep,us_dxy_broad_level|signth|w120,0.219,0.139,-0.07999999999999999
QNT-12 522-cell sweep,us_dxy_broad_level|signth|w252,0.296,0.359,0.063
QNT-12 522-cell sweep,us_dxy_broad_level|dev|w60,0.17,0.105,-0.06500000000000002
QNT-12 522-cell sweep,us_dxy_broad_level|dev|w120,0.199,0.144,-0.05500000000000002
QNT-12 522-cell sweep,us_dxy_broad_level|dev|w252,0.275,0.222,-0.05300000000000002
QNT-12 522-cell sweep,wti_level|selfz|w60,-0.042,0.016,0.058
QNT-12 522-cell sweep,wti_level|selfz|w120,0.041,-0.015,-0.056
QNT-12 522-cell sweep,wti_level|selfz|w252,0.117,0.084,-0.033
QNT-12 522-cell sweep,wti_level|robustz|w60,0.122,0.153,0.031
QNT-12 522-cell sweep,wti_level|robustz|w120,0.011,-0.017,-0.028
QNT-12 522-cell sweep,wti_level|robustz|w252,0.063,0.022,-0.041
QNT-12 522-cell sweep,wti_level|bdtanh|w60,-0.018,0.024,0.041999999999999996
QNT-12 522-cell sweep,wti_level|bdtanh|w120,0.076,0.054,-0.022
QNT-12 522-cell sweep,wti_level|bdtanh|w252,0.094,0.102,0.007999999999999993
QNT-12 522-cell sweep,wti_level|rankc|w60,0.008,-0.002,-0.01
QNT-12 522-cell sweep,wti_level|rankc|w120,0.056,-0.051,-0.107
QNT-12 522-cell sweep,wti_level|rankc|w252,0.098,0.089,-0.009000000000000008
QNT-12 522-cell sweep,wti_level|signth|w60,-0.011,0.039,0.05
QNT-12 522-cell sweep,wti_level|signth|w120,0.046,-0.051,-0.097
