grid,cell,SR_pre,SR_post,dSR
QNT-14 window grid,full | us_term_premium_10y|rankc|w60 | day,-0.108582198624019,-0.0436208424885269,0.06496135613549209
QNT-14 window grid,full | us_term_premium_10y|rankc|w120 | c2c,0.1078552652461358,0.214810449092639,0.1069551838465032
QNT-14 window grid,full | us_term_premium_10y|rankc|w120 | o2o,0.16985460384678,0.141492152406335,-0.028362451440444997
QNT-14 window grid,full | us_term_premium_10y|rankc|w120 | day,0.2087345250465512,0.1154402624217094,-0.0932942626248418
QNT-14 window grid,full | us_term_premium_10y|rankc|w252 | c2c,0.2429711390113185,0.2901991748148821,0.047228035803563606
QNT-14 window grid,full | us_term_premium_10y|rankc|w252 | o2o,0.3478847974427371,0.2555764749893451,-0.09230832245339199
QNT-14 window grid,full | us_term_premium_10y|rankc|w252 | day,0.3255525862000163,0.1812186242859623,-0.144333961914054
QNT-14 window grid,full | us_term_premium_10y|signth|w60 | c2c,-0.0791798493789147,0.1614654584505978,0.2406453078295125
QNT-14 window grid,full | us_term_premium_10y|signth|w60 | o2o,-0.0020717215480146,0.0058355436495207,0.0079072651975353
QNT-14 window grid,full | us_term_premium_10y|signth|w60 | day,0.1031741129721166,-0.0020840809254225,-0.1052581938975391
QNT-14 window grid,full | us_term_premium_10y|signth|w120 | c2c,0.0863041720160127,0.2369313006528131,0.1506271286368004
QNT-14 window grid,full | us_term_premium_10y|signth|w120 | o2o,0.14739463709688,0.0909838152060156,-0.056410821890864396
QNT-14 window grid,full | us_term_premium_10y|signth|w120 | day,0.203959047086431,0.1143992118314298,-0.0895598352550012
QNT-14 window grid,full | us_term_premium_10y|signth|w252 | c2c,0.1845870948994486,0.1638281837555557,-0.020758911143892916
QNT-14 window grid,full | us_term_premium_10y|signth|w252 | o2o,0.2759993581343467,0.1312839261425609,-0.14471543199178577
QNT-14 window grid,full | us_term_premium_10y|signth|w252 | day,0.2416330107713609,0.1279260164193822,-0.1137069943519787
QNT-14 window grid,full | us_term_premium_10y|dev|w60 | c2c,0.0755499513769637,0.0116811829099857,-0.063868768466978
QNT-14 window grid,full | us_term_premium_10y|dev|w60 | o2o,-0.0668575445518367,-0.0786838132822679,-0.011826268730431189
QNT-14 window grid,full | us_term_premium_10y|dev|w60 | day,0.0283711336933199,-0.0148019492994433,-0.0431730829927632
QNT-14 window grid,full | us_term_premium_10y|dev|w120 | c2c,0.0612543617209135,0.1361179529790408,0.0748635912581273
QNT-14 window grid,full | us_term_premium_10y|dev|w120 | o2o,0.1067063529292634,0.099800662555957,-0.006905690373306406
QNT-14 window grid,full | us_term_premium_10y|dev|w120 | day,0.1735920182230909,0.1115952181081546,-0.06199680011493629
QNT-14 window grid,full | us_term_premium_10y|dev|w252 | c2c,0.2141587486575019,0.2289503454244613,0.014791596766959403
QNT-14 window grid,full | us_term_premium_10y|dev|w252 | o2o,0.2825784499176632,0.2189572519031791,-0.06362119801448407
QNT-14 window grid,full | us_term_premium_10y|dev|w252 | day,0.2647746319764382,0.1641764626915095,-0.10059816928492868
QNT-14 window grid,full | twd_usd|selfz|w60 | c2c,0.1653674953391415,0.1529464667362782,-0.012421028602863288
QNT-14 window grid,full | twd_usd|selfz|w60 | o2o,0.2063518710035581,0.1345363298475127,-0.07181554115604538
QNT-14 window grid,full | twd_usd|selfz|w60 | day,0.0500290780041281,-0.0753205962026783,-0.1253496742068064
QNT-14 window grid,full | twd_usd|selfz|w120 | c2c,0.1473866154754697,0.1537320665565349,0.006345451081065212
QNT-14 window grid,full | twd_usd|selfz|w120 | o2o,0.1619358417687454,0.1251076254203808,-0.036828216348364584
QNT-14 window grid,full | twd_usd|selfz|w120 | day,-0.089511213473583,-0.0728221005999616,0.016689112873621403
QNT-14 window grid,full | twd_usd|selfz|w252 | c2c,0.0532584080199743,0.0812028943702086,0.027944486350234297
QNT-14 window grid,full | twd_usd|selfz|w252 | o2o,0.0339387253307061,0.0594452058564855,0.025506480525779404
QNT-14 window grid,full | twd_usd|selfz|w252 | day,0.037361278504278,0.0616163731978555,0.0242550946935775
QNT-14 window grid,full | twd_usd|robustz|w60 | c2c,0.2054083752544565,0.1956274354336326,-0.009780939820823897
QNT-14 window grid,full | twd_usd|robustz|w60 | o2o,0.2447637405514458,0.183254367998489,-0.061509372552956826
QNT-14 window grid,full | twd_usd|robustz|w60 | day,0.1550446710415164,0.1027870848793919,-0.0522575861621245
QNT-14 window grid,full | twd_usd|robustz|w120 | c2c,0.0815876400263312,0.1088463669554723,0.027258726929141094
QNT-14 window grid,full | twd_usd|robustz|w120 | o2o,0.0639254381120772,0.0770373887087665,0.013111950596689306
QNT-14 window grid,full | twd_usd|robustz|w120 | day,0.0156208605026948,0.0025309952109814,-0.013089865291713399
QNT-14 window grid,full | twd_usd|robustz|w252 | c2c,0.0003615595609319,0.0193648260041301,0.0190032664431982
QNT-14 window grid,full | twd_usd|robustz|w252 | o2o,0.0110489481007236,0.0145100173003865,0.0034610691996628997
QNT-14 window grid,full | twd_usd|robustz|w252 | day,0.0367485322450894,0.031331628841969,-0.005416903403120399
QNT-14 window grid,full | twd_usd|bdtanh|w60 | c2c,0.0572657947222396,0.0731347637244801,0.015868969002240503
QNT-14 window grid,full | twd_usd|bdtanh|w60 | o2o,0.1332902114333481,0.0507105522210763,-0.0825796592122718
QNT-14 window grid,full | twd_usd|bdtanh|w60 | day,0.012994540243487,0.0050199753849881,-0.0079745648584989
QNT-14 window grid,full | twd_usd|bdtanh|w120 | c2c,0.0756327962914092,0.1186722395375533,0.0430394432461441
QNT-14 window grid,full | twd_usd|bdtanh|w120 | o2o,0.083855587946245,0.0836993324652199,-0.0001562554810250888
QNT-14 window grid,full | twd_usd|bdtanh|w120 | day,-0.0389286947423766,-0.0343699494594374,0.004558745282939196
QNT-14 window grid,full | twd_usd|bdtanh|w252 | c2c,0.1303731824840057,0.1538753933054253,0.023502210821419595
QNT-14 window grid,full | twd_usd|bdtanh|w252 | o2o,0.1137021188416142,0.1221538521554376,0.0084517333138234
QNT-14 window grid,full | twd_usd|bdtanh|w252 | day,0.0856453263926058,0.1035010870931653,0.017855760700559498
QNT-14 window grid,full | twd_usd|rankc|w60 | c2c,0.1151222214658161,0.1122342701077217,-0.002887951358094401
QNT-14 window grid,full | twd_usd|rankc|w60 | o2o,0.1604970499684593,0.0905812884220691,-0.06991576154639019
QNT-14 window grid,full | twd_usd|rankc|w60 | day,0.027306641512546,-0.0634637440812663,-0.0907703855938123
QNT-14 window grid,full | twd_usd|rankc|w120 | c2c,0.0951923364398375,0.1393651605154892,0.04417282407565169
QNT-14 window grid,full | twd_usd|rankc|w120 | o2o,0.1246198416226442,0.0986355789992161,-0.025984262623428095
QNT-14 window grid,full | twd_usd|rankc|w120 | day,0.0228288615103438,-0.0599339282488196,-0.0827627897591634
QNT-14 window grid,full | twd_usd|rankc|w252 | c2c,0.0547048194112681,0.0594073487793104,0.004702529368042302
QNT-14 window grid,full | twd_usd|rankc|w252 | o2o,0.0373063976760596,0.0554503823366838,0.018143984660624196
QNT-14 window grid,full | twd_usd|rankc|w252 | day,0.0389957823030482,0.0581798265300215,0.019184044226973306
QNT-14 window grid,full | twd_usd|signth|w60 | c2c,0.0729332637985147,0.114099115815794,0.041165852017279306
QNT-14 window grid,full | twd_usd|signth|w60 | o2o,0.1684364710052448,0.0670854396830113,-0.10135103132223351
QNT-14 window grid,full | twd_usd|signth|w60 | day,0.0710398253838081,-0.0246154275453252,-0.0956552529291333
QNT-14 window grid,full | twd_usd|signth|w120 | c2c,0.0614529921027512,0.0952611966442379,0.033808204541486704
QNT-14 window grid,full | twd_usd|signth|w120 | o2o,0.0584352272867444,0.0375877097882767,-0.0208475174984677
QNT-14 window grid,full | twd_usd|signth|w120 | day,0.0151105030578824,0.0190943506807664,0.003983847622884002
QNT-14 window grid,full | twd_usd|signth|w252 | c2c,0.0528384798990187,0.0677325171923224,0.0148940372933037
QNT-14 window grid,full | twd_usd|signth|w252 | o2o,0.0169345283711627,0.0179071093658493,0.0009725809946866011
QNT-14 window grid,full | twd_usd|signth|w252 | day,0.0122878418688724,0.0320216662644678,0.0197338243955954
QNT-14 window grid,full | twd_usd|dev|w60 | c2c,0.0921666924499417,0.0901330312175289,-0.0020336612324128034
QNT-14 window grid,full | twd_usd|dev|w60 | o2o,0.1206950646071552,0.0529617403617063,-0.06773332424544891
QNT-14 window grid,full | twd_usd|dev|w60 | day,0.0012772240561182,-0.0322044803765224,-0.0334817044326406
QNT-14 window grid,full | twd_usd|dev|w120 | c2c,0.0973331174823313,0.1005644107445236,0.0032312932621923057
QNT-14 window grid,full | twd_usd|dev|w120 | o2o,0.123040195746257,0.0803387267663206,-0.0427014689799364
QNT-14 window grid,full | twd_usd|dev|w120 | day,-0.082877234615438,-0.0518685707368934,0.031008663878544597
QNT-14 window grid,full | twd_usd|dev|w252 | c2c,0.0491414825360593,0.0657392461011353,0.016597763565075994
QNT-14 window grid,full | twd_usd|dev|w252 | o2o,0.0456252938298517,0.058656182716274,0.013030888886422301
QNT-14 window grid,full | twd_usd|dev|w252 | day,0.0863772306790304,0.093144544070977,0.006767313391946597
QNT-14 window grid,full | krw_usd|selfz|w60 | c2c,-0.0155632145999213,-0.0242543853762349,-0.0086911707763136
QNT-14 window grid,full | krw_usd|selfz|w60 | o2o,0.0448249177308179,0.0234315767821767,-0.021393340948641197
QNT-14 window grid,full | krw_usd|selfz|w60 | day,-0.0238774361120049,-0.1256414404015359,-0.101764004289531
QNT-14 window grid,full | krw_usd|selfz|w120 | c2c,-0.0001760833257346,-0.0283009724703226,-0.028124889144588
QNT-14 window grid,full | krw_usd|selfz|w120 | o2o,0.0308923788600705,-0.0127877144729001,-0.0436800933329706
QNT-14 window grid,full | krw_usd|selfz|w120 | day,-0.038658095684658,0.0161209871159812,0.0547790828006392
QNT-14 window grid,full | krw_usd|selfz|w252 | c2c,-0.0300373616184571,0.0152669200099668,0.0453042816284239
QNT-14 window grid,full | krw_usd|selfz|w252 | o2o,0.0310848168465462,0.0136988131249566,-0.017386003721589598
QNT-14 window grid,full | krw_usd|selfz|w252 | day,-0.0028209540883253,0.0636953361799964,0.0665162902683217
QNT-14 window grid,full | krw_usd|robustz|w60 | c2c,-0.0281637345579652,-0.0330248977374584,-0.004861163179493196
QNT-14 window grid,full | krw_usd|robustz|w60 | o2o,0.0368169331433493,0.0236835690007871,-0.0131333641425622
QNT-14 window grid,full | krw_usd|robustz|w60 | day,-0.0646332321245776,0.0755870144077008,0.14022024653227838
QNT-14 window grid,full | krw_usd|robustz|w120 | c2c,0.0346539422567955,0.0658513667364037,0.031197424479608195
QNT-14 window grid,full | krw_usd|robustz|w120 | o2o,-0.01286612099528,0.0809636589697975,0.0938297799650775
QNT-14 window grid,full | krw_usd|robustz|w120 | day,0.021621292903865,0.0956714755622128,0.0740501826583478
QNT-14 window grid,full | krw_usd|robustz|w252 | c2c,0.0194774766230919,0.0715229366521269,0.052045460029035
QNT-14 window grid,full | krw_usd|robustz|w252 | o2o,-0.0215632725139837,0.0594008228995797,0.0809640954135634
QNT-14 window grid,full | krw_usd|robustz|w252 | day,-0.0368338531680282,0.0183754573744611,0.0552093105424893
QNT-14 window grid,full | krw_usd|bdtanh|w60 | c2c,-0.0333824242191351,0.0089866551748234,0.0423690793939585
QNT-14 window grid,full | krw_usd|bdtanh|w60 | o2o,0.005283603183781,0.0372214994263204,0.0319378962425394
QNT-14 window grid,full | krw_usd|bdtanh|w60 | day,-0.0551261338844549,-0.1311482348610257,-0.0760221009765708
QNT-14 window grid,full | krw_usd|bdtanh|w120 | c2c,-0.0220239437765388,0.0161255916479066,0.0381495354244454
QNT-14 window grid,full | krw_usd|bdtanh|w120 | o2o,-0.0216506276081878,0.0258729249845102,0.047523552592698
QNT-14 window grid,full | krw_usd|bdtanh|w120 | day,-0.1048962409798705,0.0574126555117884,0.16230889649165892
QNT-14 window grid,full | krw_usd|bdtanh|w252 | c2c,0.0460339922014623,-0.0578771587613086,-0.1039111509627709
QNT-14 window grid,full | krw_usd|bdtanh|w252 | o2o,0.0883414410106705,-0.0460181421332002,-0.1343595831438707
QNT-14 window grid,full | krw_usd|bdtanh|w252 | day,0.0281918807061337,0.081242367670318,0.05305048696418431
QNT-14 window grid,full | krw_usd|rankc|w60 | c2c,-0.0214596968304221,-0.0307103651974132,-0.0092506683669911
QNT-14 window grid,full | krw_usd|rankc|w60 | o2o,0.0782330915168539,0.0131733666739362,-0.0650597248429177
QNT-14 window grid,full | krw_usd|rankc|w60 | day,-0.0047917222608719,0.0490777870159354,0.053869509276807295
QNT-14 window grid,full | krw_usd|rankc|w120 | c2c,-0.0396933676357578,-0.0069915485361101,0.0327018190996477
QNT-14 window grid,full | krw_usd|rankc|w120 | o2o,0.0184546566801767,0.0136593568957562,-0.0047952997844205
QNT-14 window grid,full | krw_usd|rankc|w120 | day,-0.0699141280245178,0.0578770474324743,0.1277911754569921
QNT-14 window grid,full | krw_usd|rankc|w252 | c2c,-0.0692612304822393,-0.0353958712950415,0.0338653591871978
QNT-14 window grid,full | krw_usd|rankc|w252 | o2o,0.0602030823153122,-0.0182648975487688,-0.078467979864081
QNT-14 window grid,full | krw_usd|rankc|w252 | day,0.0303905283900204,0.0901993333528105,0.05980880496279009
QNT-14 window grid,full | krw_usd|signth|w60 | c2c,-0.0318059859132881,0.0322211940229652,0.0640271799362533
QNT-14 window grid,full | krw_usd|signth|w60 | o2o,-0.0452274586865284,0.0777477058158463,0.1229751645023747
QNT-14 window grid,full | krw_usd|signth|w60 | day,-0.1218645203875498,-0.1406467565112897,-0.018782236123739887
QNT-14 window grid,full | krw_usd|signth|w120 | c2c,0.1392506050538531,0.1450121227922107,0.005761517738357619
QNT-14 window grid,full | krw_usd|signth|w120 | o2o,0.1050088727114913,0.2127489172767777,0.1077400445652864
QNT-14 window grid,full | krw_usd|signth|w120 | day,0.1810620981653245,0.2500828203336862,0.06902072216836166
QNT-14 window grid,full | krw_usd|signth|w252 | c2c,0.0080412505113615,0.0854756427413398,0.0774343922299783
QNT-14 window grid,full | krw_usd|signth|w252 | o2o,0.0563200782012203,0.0525785883126667,-0.0037414898885535994
QNT-14 window grid,full | krw_usd|signth|w252 | day,-0.00391173967045,0.0607815563141513,0.0646932959846013
QNT-14 window grid,full | krw_usd|dev|w60 | c2c,-0.0534966805380969,-0.0304138296243462,0.0230828509137507
QNT-14 window grid,full | krw_usd|dev|w60 | o2o,0.0165672980455637,0.0159053595178669,-0.0006619385276968003
QNT-14 window grid,full | krw_usd|dev|w60 | day,-0.0479390482251966,0.0280890120211381,0.07602806024633471
QNT-14 window grid,full | krw_usd|dev|w120 | c2c,-0.0089861405654336,0.0324058879941723,0.0413920285596059
QNT-14 window grid,full | krw_usd|dev|w120 | o2o,-0.0377650415853927,0.0541114296066119,0.0918764711920046
QNT-14 window grid,full | krw_usd|dev|w120 | day,0.0849025526020182,0.1444257249555142,0.059523172353495996
QNT-14 window grid,full | krw_usd|dev|w252 | c2c,0.0905821017853869,0.1177377154647445,0.027155613679357593
QNT-14 window grid,full | krw_usd|dev|w252 | o2o,0.0482049966290101,0.1300436830163247,0.08183868638731462
QNT-14 window grid,full | krw_usd|dev|w252 | day,0.1564930714966411,0.2134778002890073,0.05698472879236621
QNT-14 window grid,full | cny_usd|selfz|w60 | c2c,0.0012184819926888,-0.0615322992568194,-0.0627507812495082
QNT-14 window grid,full | cny_usd|selfz|w60 | o2o,0.1300213626475222,0.0228526613762259,-0.1071687012712963
QNT-14 window grid,full | cny_usd|selfz|w60 | day,-0.0086938080444939,0.2829161133764882,0.2916099214209821
QNT-14 window grid,full | cny_usd|selfz|w120 | c2c,-0.1095393355461369,-0.1050677001106331,0.004471635435503801
QNT-14 window grid,full | cny_usd|selfz|w120 | o2o,0.1842972406088226,-0.063871098250973,-0.2481683388597956
QNT-14 window grid,full | cny_usd|selfz|w120 | day,-0.0364229983557209,0.1857422988549125,0.2221652972106334
QNT-14 window grid,full | cny_usd|selfz|w252 | c2c,-0.2224935982573135,-0.1901780408362953,0.03231555742101819
QNT-14 window grid,full | cny_usd|selfz|w252 | o2o,0.2524512073571957,-0.189329671241853,-0.4417808785990487
QNT-14 window grid,full | cny_usd|selfz|w252 | day,-0.0698708017434963,0.0570773399302912,0.1269481416737875
QNT-14 window grid,full | cny_usd|robustz|w60 | c2c,-0.0292277718740046,0.0193950521265508,0.0486228240005554
QNT-14 window grid,full | cny_usd|robustz|w60 | o2o,0.0986453262472565,-0.0480145865508785,-0.146659912798135
QNT-14 window grid,full | cny_usd|robustz|w60 | day,-0.0969909097987688,0.1568777718907213,0.2538686816894901
QNT-14 window grid,full | cny_usd|robustz|w120 | c2c,0.2343490482707775,0.1663694566937727,-0.06797959157700478
QNT-14 window grid,full | cny_usd|robustz|w120 | o2o,0.3176763677828936,0.1623478360903752,-0.1553285316925184
QNT-14 window grid,full | cny_usd|robustz|w120 | day,0.0710527859032321,-0.0350655316334556,-0.10611831753668768
QNT-14 window grid,full | cny_usd|robustz|w252 | c2c,-0.2296474218462418,-0.2217006682427058,0.007946753603536
QNT-14 window grid,full | cny_usd|robustz|w252 | o2o,0.2621346083779218,-0.1984561475224412,-0.460590755900363
QNT-14 window grid,full | cny_usd|robustz|w252 | day,-0.0128468289027365,0.0866261244057561,0.0994729533084926
QNT-14 window grid,full | cny_usd|bdtanh|w60 | c2c,-0.0446630911881641,-0.0016497312194129,0.0430133599687512
QNT-14 window grid,full | cny_usd|bdtanh|w60 | o2o,0.1559372857358074,-0.0179303485374139,-0.1738676342732213
QNT-14 window grid,full | cny_usd|bdtanh|w60 | day,0.0219816147688521,0.2684739100648221,0.24649229529596997
QNT-14 window grid,full | cny_usd|bdtanh|w120 | c2c,-0.1712215333547472,0.080402193810797,0.2516237271655442
QNT-14 window grid,full | cny_usd|bdtanh|w120 | o2o,0.2595506272748638,-0.1135232907923647,-0.37307391806722845
QNT-14 window grid,full | cny_usd|bdtanh|w120 | day,-0.0470589205466752,0.1834767034460691,0.2305356239927443
QNT-14 window grid,full | cny_usd|bdtanh|w252 | c2c,0.2082697194480058,0.1768213161385249,-0.0314484033094809
QNT-14 window grid,full | cny_usd|bdtanh|w252 | o2o,0.2969612947360416,0.1744697247478725,-0.1224915699881691
QNT-14 window grid,full | cny_usd|bdtanh|w252 | day,0.0142627915713219,0.028910009603103,0.014647218031781099
QNT-14 window grid,full | cny_usd|rankc|w60 | c2c,-0.014310175836105,0.010652851259247,0.024963027095352003
QNT-14 window grid,full | cny_usd|rankc|w60 | o2o,0.1601595477627112,-0.016881686981359,-0.17704123474407021
QNT-14 window grid,full | cny_usd|rankc|w60 | day,-0.0415935702193972,0.2705579463716631,0.3121515165910603
QNT-14 window grid,full | cny_usd|rankc|w120 | c2c,-0.1342504187008512,0.0952421315629333,0.2294925502637845
QNT-14 window grid,full | cny_usd|rankc|w120 | o2o,0.2016026073480274,-0.1070219984636561,-0.3086246058116835
QNT-14 window grid,full | cny_usd|rankc|w120 | day,-0.0140724197008786,0.2101517008189799,0.22422412051985852
QNT-14 window grid,full | cny_usd|rankc|w252 | c2c,-0.2643897826640666,0.1866090912017966,0.45099887386586324
QNT-14 window grid,full | cny_usd|rankc|w252 | o2o,0.3225317038058568,0.1563255061304815,-0.16620619767537528
QNT-14 window grid,full | cny_usd|rankc|w252 | day,-0.1085516629367673,0.0990270056263722,0.2075786685631395
QNT-14 window grid,full | cny_usd|signth|w60 | c2c,-0.0582698924601368,0.0139202567064155,0.0721901491665523
QNT-14 window grid,full | cny_usd|signth|w60 | o2o,0.2145349187289611,-0.0183749128941016,-0.2329098316230627
QNT-14 window grid,full | cny_usd|signth|w60 | day,0.0420113956505413,0.3593259278261898,0.3173145321756485
QNT-14 window grid,full | cny_usd|signth|w120 | c2c,-0.0024159257309934,0.1322248261330804,0.1346407518640738
QNT-14 window grid,full | cny_usd|signth|w120 | o2o,0.0430235414764504,0.081691043807785,0.0386675023313346
QNT-14 window grid,full | cny_usd|signth|w120 | day,0.2844238167593722,0.2050510316924787,-0.07937278506689352
QNT-14 window grid,full | cny_usd|signth|w252 | c2c,0.2636217226298983,-0.2591421300839691,-0.5227638527138674
QNT-14 window grid,full | cny_usd|signth|w252 | o2o,0.2400242012339449,-0.2926713065851793,-0.5326955078191242
QNT-14 window grid,full | cny_usd|signth|w252 | day,0.0468738243511693,0.0316804287389674,-0.015193395612201906
QNT-14 window grid,full | cny_usd|dev|w60 | c2c,-0.0335110430374302,-0.0110147459087614,0.022496297128668803
QNT-14 window grid,full | cny_usd|dev|w60 | o2o,-0.1470808039890056,-0.0201746078339225,0.1269061961550831
QNT-14 window grid,full | cny_usd|dev|w60 | day,0.0442276049662321,0.1867814669142271,0.142553861947995
QNT-14 window grid,full | cny_usd|dev|w120 | c2c,-0.1134011315652934,-0.1129807787827879,0.0004203527825055037
QNT-14 window grid,full | cny_usd|dev|w120 | o2o,-0.184541585637146,-0.1033900676039053,0.08115151803324071
QNT-14 window grid,full | cny_usd|dev|w120 | day,0.0302706247563542,0.1328518203260179,0.10258119556966369
QNT-14 window grid,full | cny_usd|dev|w252 | c2c,-0.1518516054615105,-0.1238121621989659,0.028039443262544594
QNT-14 window grid,full | cny_usd|dev|w252 | o2o,-0.2088694029247823,-0.150793925000111,0.0580754779246713
QNT-14 window grid,full | cny_usd|dev|w252 | day,0.014354169487355,0.0922575670575693,0.07790339757021429
QNT-14 window grid,full | wti|selfz|w60 | c2c,-0.0418957021504332,0.0163787383735585,0.0582744405239917
QNT-14 window grid,full | wti|selfz|w60 | o2o,-0.0703953185362363,-0.0230906252638811,0.0473046932723552
QNT-14 window grid,full | wti|selfz|w60 | day,-0.0201742909270877,0.0230927278706588,0.0432670187977465
QNT-14 window grid,full | wti|selfz|w120 | c2c,0.0411835240128746,-0.0153967248762963,-0.0565802488891709
QNT-14 window grid,full | wti|selfz|w120 | o2o,0.0538323434562175,0.0201278670948309,-0.0337044763613866
QNT-14 window grid,full | wti|selfz|w120 | day,0.1905944473090359,0.1751321511730694,-0.015462296135966502
QNT-14 window grid,full | wti|selfz|w252 | c2c,0.1169431781282083,0.0843607653500994,-0.0325824127781089
QNT-14 window grid,full | wti|selfz|w252 | o2o,0.1202038870458178,0.10345891472524,-0.016744972320577797
QNT-14 window grid,full | wti|selfz|w252 | day,0.2663086477880683,0.2564729042129792,-0.009835743575089095
QNT-14 window grid,full | wti|robustz|w60 | c2c,0.1223691794975722,0.1530623835528428,0.030693204055270595
QNT-14 window grid,full | wti|robustz|w60 | o2o,0.116564091989971,0.1262598559979582,0.00969576400798719
QNT-14 window grid,full | wti|robustz|w60 | day,-0.0919209456958626,0.0058885682402314,0.097809513936094
QNT-14 window grid,full | wti|robustz|w120 | c2c,0.0109571687348428,-0.0173157212205708,-0.028272889955413598
QNT-14 window grid,full | wti|robustz|w120 | o2o,0.0153015085057847,-0.0118519818121856,-0.0271534903179703
QNT-14 window grid,full | wti|robustz|w120 | day,0.113344013328835,0.1025223117209438,-0.010821701607891199
QNT-14 window grid,full | wti|robustz|w252 | c2c,0.0633947519799587,0.0219224247748944,-0.041472327205064295
QNT-14 window grid,full | wti|robustz|w252 | o2o,0.0630413976981689,0.0465541339116396,-0.016487263786529295
QNT-14 window grid,full | wti|robustz|w252 | day,0.2498095568500394,0.2440162871718859,-0.005793269678153495
QNT-14 window grid,full | wti|bdtanh|w60 | c2c,-0.0184647351454428,0.0236471809744066,0.0421119161198494
QNT-14 window grid,full | wti|bdtanh|w60 | o2o,-0.04931712866611,-0.0278952036555999,0.0214219250105101
QNT-14 window grid,full | wti|bdtanh|w60 | day,0.0151144152358279,0.0591142154200134,0.0439998001841855
QNT-14 window grid,full | wti|bdtanh|w120 | c2c,0.0758835134460738,0.0538071139794333,-0.0220763994666405
QNT-14 window grid,full | wti|bdtanh|w120 | o2o,0.08266542192662,0.0694201389383789,-0.013245282988241111
QNT-14 window grid,full | wti|bdtanh|w120 | day,0.2423528205237453,0.2379525878478517,-0.004400232675893595
QNT-14 window grid,full | wti|bdtanh|w252 | c2c,0.0937883030381939,0.1015754559416038,0.007787152903409908
QNT-14 window grid,full | wti|bdtanh|w252 | o2o,0.1029772860212912,0.0991270610205076,-0.003850225000783608
QNT-14 window grid,full | wti|bdtanh|w252 | day,0.2626326898259817,0.2516547281645889,-0.01097796166139281
QNT-14 window grid,full | wti|rankc|w60 | c2c,0.0080293080824727,-0.0017334783545405,-0.009762786437013199
QNT-14 window grid,full | wti|rankc|w60 | o2o,-0.0486716828284096,-0.0194576918899071,0.0292139909385025
QNT-14 window grid,full | wti|rankc|w60 | day,-0.0102388676636342,0.0675349030025408,0.077773770666175
QNT-14 window grid,full | wti|rankc|w120 | c2c,0.0558825474333311,-0.0505563931633113,-0.1064389405966424
QNT-14 window grid,full | wti|rankc|w120 | o2o,0.0473384040026325,0.0299518897901661,-0.017386514212466397
QNT-14 window grid,full | wti|rankc|w120 | day,0.18951755031295,0.2080974117957099,0.01857986148275989
QNT-14 window grid,full | wti|rankc|w252 | c2c,0.0981150145023515,0.0890301738513787,-0.0090848406509728
QNT-14 window grid,full | wti|rankc|w252 | o2o,0.095016020541793,0.0830565463560732,-0.011959474185719812
QNT-14 window grid,full | wti|rankc|w252 | day,0.2357985527425839,0.2390682800443533,0.0032697273017693873
QNT-14 window grid,full | wti|signth|w60 | c2c,-0.0107325607228353,0.0388065307218013,0.0495390914446366
QNT-14 window grid,full | wti|signth|w60 | o2o,-0.0606092149684884,-0.0208193113420818,0.0397899036264066
QNT-14 window grid,full | wti|signth|w60 | day,0.0224750813701323,0.1115510619250564,0.0890759805549241
QNT-14 window grid,full | wti|signth|w120 | c2c,0.0455344269568841,-0.0510601958285492,-0.09659462278543329
QNT-14 window grid,full | wti|signth|w120 | o2o,0.0149647990717477,0.0477925782107221,0.0328277791389744
QNT-14 window grid,full | wti|signth|w120 | day,0.1773783353837121,0.2140662433972354,0.03668790801352331
QNT-14 window grid,full | wti|signth|w252 | c2c,0.1477481727139261,0.1799040590342529,0.032155886320326815
QNT-14 window grid,full | wti|signth|w252 | o2o,0.1019795490343364,0.1866378290297898,0.08465827999545339
QNT-14 window grid,full | wti|signth|w252 | day,0.2822786783670058,0.3334519453758445,0.051173267008838674
QNT-14 window grid,full | wti|dev|w60 | c2c,0.0218654227330125,-0.0446486707777867,-0.0665140935107992
QNT-14 window grid,full | wti|dev|w60 | o2o,0.0046856672025582,-0.0088125356867203,-0.0134982028892785
QNT-14 window grid,full | wti|dev|w60 | day,0.042883120543654,0.0659271137060012,0.023043993162347197
QNT-14 window grid,full | wti|dev|w120 | c2c,0.0875651626075367,0.04058502990693,-0.046980132700606705
QNT-14 window grid,full | wti|dev|w120 | o2o,0.1129534535207646,0.0615198211302814,-0.051433632390483194
QNT-14 window grid,full | wti|dev|w120 | day,0.2438822966059531,0.2130023013039251,-0.03087999530202798
QNT-14 window grid,full | wti|dev|w252 | c2c,0.1235020996433363,0.1081293353363807,-0.01537276430695561
QNT-14 window grid,full | wti|dev|w252 | o2o,0.1366093277219026,0.1125379771209213,-0.024071350600981298
QNT-14 window grid,full | wti|dev|w252 | day,0.2944485258712495,0.2749064836839393,-0.019542042187310205
QNT-14 window grid,night | us_dxy_broad|selfz|w60 | c2c,0.0885922475521558,0.109859564940583,0.021267317388427187
QNT-14 window grid,night | us_dxy_broad|selfz|w60 | o2o,0.1940388087815611,0.1347023273398609,-0.0593364814417002
QNT-14 window grid,night | us_dxy_broad|selfz|w60 | day,-0.4024830716585259,-0.2480823129519676,0.15440075870655834
QNT-14 window grid,night | us_dxy_broad|selfz|w60 | ongap,-0.3285522885196579,-0.4180228829179607,-0.0894705943983028
