signal,dim,window,state_a,state_b,SR_a,SR_b,dSR,n_a,n_b,ep_a,ep_b,hit_a,hit_b,beta_a,beta_b,pos_a,pos_b,enabled,dSR_ci_lo,dSR_ci_hi,p_dSR_gt0,welch_t
month_turn_drift_d5_d10,epu,full,epu_high,epu_low,0.6093611058976969,0.7324906499618768,-0.12312954406417997,2914,3280,52,53,0.5338345864661654,0.5474883917264669,0.7400557600417964,0.7183830390266045,0.730267673301304,0.7222560975609756,True,-0.9854315465157815,0.8820325590295377,0.4,-0.045925016821542125
month_turn_drift_d5_d10,epu,IS,epu_high,epu_low,0.40262616458966427,0.5797046861308202,-0.1770785215411559,2075,2259,36,36,0.5230153435623749,0.5395948434622467,0.713490905489713,0.7335140629357836,0.7224096385542169,0.7211155378486056,True,,,,
month_turn_drift_d5_d10,epu,OOS,epu_high,epu_low,1.1673426969663712,1.0732533369326622,0.09408936003370894,839,1021,17,17,0.5596184419713831,0.5648648648648649,0.8315092975722759,0.6863556744578176,0.7497020262216925,0.7247796278158668,True,,,,
month_turn_drift_d5_d10,nfci,full,nfci_tight,nfci_loose,0.26930245085676374,1.1152625673737842,-0.8459601165170204,2810,3384,37,38,0.5258748151798915,0.553484602917342,0.7158797611451024,0.7511225164485908,0.7220640569395018,0.7293144208037825,True,-1.5427567279555916,-0.019683669543657502,0.0245,-1.5917832467264184
month_turn_drift_d5_d10,nfci,IS,nfci_tight,nfci_loose,0.21339554875746117,0.7948421583525309,-0.5814466095950698,2025,2309,25,25,0.5147766323024054,0.5463239689181112,0.702103157717566,0.75171051033426,0.7185185185185186,0.7245560848852317,True,,,,
month_turn_drift_d5_d10,nfci,OOS,nfci_tight,nfci_loose,0.4120529466584576,1.8897009726593625,-1.4776480260009048,785,1075,13,13,0.554006968641115,0.5685534591194968,0.7533315433657449,0.749576294819349,0.7312101910828025,0.7395348837209302,True,,,,
month_turn_drift_d5_d10,stlfsi_lvl,full,stress_on_lvl,stress_off_lvl,0.6953277969973652,0.6372937524498026,0.05803404454756267,2212,4041,42,42,0.5399120050282841,0.5403116531165312,0.7042175470163172,0.76092881000332,0.719258589511754,0.7305122494432071,True,-0.45990956215421924,1.3999761675367204,0.6345,0.6890122623947271
month_turn_drift_d5_d10,stlfsi_lvl,IS,stress_on_lvl,stress_off_lvl,0.6256970423745085,0.28487313780800877,0.34082390456649975,1947,2446,28,27,0.5323383084577115,0.5291454442558008,0.7207860970631108,0.7208123129315754,0.7226502311248074,0.722403924775143,True,,,,
month_turn_drift_d5_d10,stlfsi_lvl,OOS,stress_on_lvl,stress_off_lvl,1.42360332442189,1.0677026617655816,0.3559006626563084,265,1595,15,15,0.5978260869565217,0.5569620253164557,0.5353884888133723,0.801764766733013,0.6943396226415094,0.7429467084639498,True,,,,
month_turn_drift_d5_d10,nfci_lvl,full,nfci_tight_lvl,nfci_loose_lvl,0.3285676540680326,0.7186299233257735,-0.39006226925774085,591,5662,3,4,0.5454545454545454,0.5396208070004861,0.7103024410520994,0.7347534093446726,0.7258883248730964,0.7265983751324621,True,-0.8488729457551223,3.7565856524618058,0.2905,-0.16277586203515393
month_turn_drift_d5_d10,nfci_lvl,IS,nfci_tight_lvl,nfci_loose_lvl,0.15670407603250155,0.5538563555528276,-0.39715227952032606,554,3839,2,3,0.5386533665835411,0.5293905517490083,0.7285079990751309,0.7177170296343366,0.723826714801444,0.7223235217504559,True,,,,
month_turn_drift_d5_d10,nfci_lvl,OOS,nfci_tight_lvl,nfci_loose_lvl,4.575320258782467,1.0477060380800662,3.527614220702401,37,1823,1,2,0.6428571428571429,0.5607755406413124,0.34359150627325774,0.7692103006330661,0.7567567567567568,0.7356006582556226,True,,,,
nfci_loose_drift_d3_12,igrea,full,igrea_high,igrea_low,0.6731147057845592,0.7575064594341228,-0.08439175364956353,3361,2833,36,36,0.5419847328244275,0.5862068965517241,0.17059024849834672,0.12543566545327184,0.194882475453734,0.17402047299682316,True,-0.7442455964200297,0.5705509855437219,0.3985,-0.1753735132417185
nfci_loose_drift_d3_12,igrea,IS,igrea_high,igrea_low,0.532902930480479,0.48806827342073095,0.04483465705974804,2374,1960,25,26,0.5244360902255639,0.5743801652892562,0.19398001155431074,0.09722663638623749,0.22409435551811288,0.12346938775510204,True,,,,
nfci_loose_drift_d3_12,igrea,OOS,igrea_high,igrea_low,1.3177861384850538,1.2188529594674524,0.09893317901760135,987,873,11,11,0.6178861788617886,0.5976095617529881,0.09235781053117166,0.18895348682687046,0.12462006079027356,0.28751431844215347,True,,,,
nfci_loose_drift_d3_12,stlfsi,full,stress_on,stress_off,0.7063583582621341,0.7225540896540568,-0.016195731391922652,2373,3821,113,114,0.5870206489675516,0.5500618046971569,0.07823065144759213,0.2127991893419532,0.14285714285714285,0.21172467940329756,True,-0.6199991465306541,0.6411518439525791,0.494,-0.5301592743272094
nfci_loose_drift_d3_12,stlfsi,IS,stress_on,stress_off,0.36928486790909604,0.5831592513347825,-0.2138743834256865,1648,2686,78,78,0.5502392344497608,0.536283185840708,0.07024390044021837,0.22437928373947313,0.12682038834951456,0.2103499627699181,True,,,,
nfci_loose_drift_d3_12,stlfsi,OOS,stress_on,stress_off,1.4509043050528394,1.083541692126725,0.3673626129261145,725,1135,36,36,0.6461538461538462,0.5819672131147541,0.10313811802968142,0.185639770684234,0.1793103448275862,0.21497797356828194,True,,,,
nfci_loose_drift_d3_12,epu,full,epu_high,epu_low,0.8920211922560615,0.5367535612432226,0.35526763101283887,2914,3280,52,53,0.5787781350482315,0.5399239543726235,0.1403147605429051,0.1543939039011421,0.213452299245024,0.1603658536585366,True,-0.2983784117647517,1.009457060029115,0.8535,1.0389620494793783
nfci_loose_drift_d3_12,epu,IS,epu_high,epu_low,0.4937194157161975,0.5273733155224274,-0.0336538998062299,2075,2259,36,36,0.5521628498727735,0.5275590551181102,0.11554998497036396,0.18593747515199532,0.1893975903614458,0.16865869853917662,True,,,,
nfci_loose_drift_d3_12,epu,OOS,epu_high,epu_low,1.7320138110343335,0.5904421471507617,1.1415716638835718,839,1021,17,17,0.6244541484716157,0.5724137931034483,0.22355020123592148,0.08801706711690765,0.2729439809296782,0.14201762977473065,True,,,,
nfci_loose_drift_d3_12,nfci,full,nfci_tight,nfci_loose,0.5819396946089289,0.8052424376104135,-0.22330274300148456,2810,3384,37,38,0.5693069306930693,0.5564516129032258,0.08812216332001678,0.2346532099768671,0.14377224199288255,0.2198581560283688,True,-0.8523799825741531,0.4004101369566012,0.2265,-0.8874978893214791
nfci_loose_drift_d3_12,nfci,IS,nfci_tight,nfci_loose,0.29425765866174747,0.6608832470597701,-0.3666255883980226,2025,2309,25,25,0.5403225806451613,0.5399239543726235,0.07744575945403862,0.24823651770745167,0.12246913580246914,0.2278042442615851,True,,,,
nfci_loose_drift_d3_12,nfci,OOS,nfci_tight,nfci_loose,1.208260559513051,1.2033356770754755,0.004924882437575384,785,1075,13,13,0.6153846153846154,0.5963302752293578,0.11697583164639869,0.1985590468643545,0.19872611464968154,0.2027906976744186,True,,,,
nfci_loose_drift_d3_12,stlfsi_lvl,full,stress_on_lvl,stress_off_lvl,0.4082615419528711,0.9434590758647162,-0.5351975339118451,2212,4041,42,42,0.5377969762419006,0.5673076923076923,0.16698595701366747,0.1350853278167334,0.20931283905967452,0.180153427369463,True,-1.3173050504029664,0.4860887866503233,0.112,-0.4051389467663237
nfci_loose_drift_d3_12,stlfsi_lvl,IS,stress_on_lvl,stress_off_lvl,0.3411694273349646,0.7418953813378062,-0.4007259540028416,1947,2446,28,27,0.5191387559808612,0.5488721804511278,0.17597791055067405,0.10376233221237181,0.21468926553672316,0.16312346688470972,True,,,,
nfci_loose_drift_d3_12,stlfsi_lvl,OOS,stress_on_lvl,stress_off_lvl,1.3547601129545574,1.1885004522672624,0.16625966068729503,265,1595,15,15,0.7111111111111111,0.5896656534954408,0.07474294924579303,0.16682357194138195,0.16981132075471697,0.20626959247648902,True,,,,
nfci_loose_drift_d3_12,nfci_lvl,full,nfci_tight_lvl,nfci_loose_lvl,0.7696921566843036,0.658720888540046,0.11097126814425762,591,5662,3,4,0.625,0.5480859010270775,0.1587295163845672,0.1512060704201526,0.20304568527918782,0.18915577534440128,True,-0.37939787096009114,0.9195164625231885,0.701,0.5793298688798996
nfci_loose_drift_d3_12,nfci_lvl,IS,nfci_tight_lvl,nfci_loose_lvl,0.7293475188924228,0.3979346248781713,0.3314128940142515,554,3839,2,3,0.6074766355140186,0.5225352112676056,0.15896732496580254,0.15193726666948618,0.1931407942238267,0.184943995832248,True,,,,
nfci_loose_drift_d3_12,nfci_lvl,OOS,nfci_tight_lvl,nfci_loose_lvl,1.4394166837098892,1.2000968053443388,0.23931987836555035,37,1823,1,2,0.7692307692307693,0.5983379501385041,0.16010983729033518,0.149358223449473,0.35135135135135137,0.19802523313219966,True,,,,
opt_call_all_oi_signth_w20,igrea,full,igrea_high,igrea_low,0.018882056888869837,0.02304775882551693,-0.004165701936647094,3336,2678,36,35,0.48370233702337023,0.4927035330261137,-0.07812438479709838,-0.06247488335413632,0.002498973252067208,-0.010109171104981758,False,-0.6711942715179462,0.7700877490057019,0.5005,-0.013162939898260966
opt_call_all_oi_signth_w20,igrea,IS,igrea_high,igrea_low,-0.05102645885050399,-0.048869923201088364,-0.0021565356494156265,2349,1805,25,25,0.49238136700043533,0.49971894322653176,-0.055144832018023754,-0.09281111607388508,-0.004437009585813457,-0.018981059621553317,False,,,,
