cand,variant,mine,ref,diff
us_dgs30|dev|w120,c2c,0.1158,0.1208,-0.005
us_dgs30|dev|w252,c2c,0.176,0.1824,-0.0065
us_term_premium_10y|selfz|w60,c2c,0.1074,0.1118,-0.0044
us_term_premium_10y|selfz|w120,c2c,0.2192,0.223,-0.0038
us_term_premium_10y|selfz|w252,c2c,0.2613,0.266,-0.0047
us_term_premium_10y|robustz|w60,c2c,0.0962,0.0998,-0.0036
us_term_premium_10y|robustz|w120,c2c,0.2009,0.2026,-0.0016
us_term_premium_10y|robustz|w252,c2c,0.2489,0.2534,-0.0046
us_term_premium_10y|bdtanh|w60,c2c,0.1413,0.1459,-0.0045
us_term_premium_10y|bdtanh|w120,c2c,0.2518,0.2561,-0.0043
us_term_premium_10y|bdtanh|w252,c2c,0.2377,0.2426,-0.0049
us_term_premium_10y|rankc|w60,c2c,0.1176,0.1231,-0.0055
us_term_premium_10y|rankc|w120,c2c,0.2097,0.2148,-0.0051
us_term_premium_10y|rankc|w252,c2c,0.2849,0.2902,-0.0053
us_term_premium_10y|signth|w60,c2c,0.1573,0.1615,-0.0041
us_term_premium_10y|signth|w120,c2c,0.2328,0.2369,-0.0041
us_term_premium_10y|signth|w252,c2c,0.1593,0.1638,-0.0045
us_term_premium_10y|dev|w60,c2c,0.0076,0.0117,-0.004
us_term_premium_10y|dev|w120,c2c,0.1314,0.1361,-0.0048
us_term_premium_10y|dev|w252,c2c,0.2226,0.229,-0.0064
twd_usd|selfz|w60,c2c,0.1595,0.1529,0.0065
twd_usd|selfz|w120,c2c,0.16,0.1537,0.0063
twd_usd|selfz|w252,c2c,0.0823,0.0812,0.0011
twd_usd|robustz|w60,c2c,0.2032,0.1956,0.0076
twd_usd|robustz|w120,c2c,0.1158,0.1088,0.007
twd_usd|robustz|w252,c2c,0.0207,0.0194,0.0013
twd_usd|bdtanh|w60,c2c,0.0795,0.0731,0.0064
twd_usd|bdtanh|w120,c2c,0.125,0.1187,0.0063
twd_usd|bdtanh|w252,c2c,0.156,0.1539,0.0021
twd_usd|rankc|w60,c2c,0.1186,0.1122,0.0063
twd_usd|rankc|w120,c2c,0.1457,0.1394,0.0063
twd_usd|rankc|w252,c2c,0.0607,0.0594,0.0013
twd_usd|signth|w60,c2c,0.1204,0.1141,0.0063
twd_usd|signth|w120,c2c,0.1002,0.0953,0.0049
twd_usd|signth|w252,c2c,0.0651,0.0677,-0.0026
twd_usd|dev|w60,c2c,0.097,0.0901,0.0069
twd_usd|dev|w120,c2c,0.1064,0.1006,0.0059
twd_usd|dev|w252,c2c,0.066,0.0657,0.0003
krw_usd|selfz|w60,c2c,-0.0307,-0.0243,-0.0065
krw_usd|selfz|w120,c2c,-0.0352,-0.0283,-0.0069
krw_usd|selfz|w252,c2c,0.0083,0.0153,-0.007
krw_usd|robustz|w60,c2c,-0.04,-0.033,-0.007
krw_usd|robustz|w120,c2c,0.0585,0.0659,-0.0074
krw_usd|robustz|w252,c2c,0.0645,0.0715,-0.007
krw_usd|bdtanh|w60,c2c,0.0026,0.009,-0.0064
