frac,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,passes
0.4,1,2264,1.133529895757949,0.9292589943959935,0.8058988308858983,0.8,-0.8317399567700519,10,0.4100202165039868,0.40724381625441697,0.40724381625441697,-12.52433118809218,471,123.4399293286219,40.724381625441694,2017-05-16,2026-09-01,False
0.4,1,2264,0.8160146799036161,0.6159673498205118,1.366793017751133,1.0,0.04210599471887285,10,0.4061035202638041,0.40547703180212014,0.40547703180212014,-11.873641460712774,416,119.98939929328621,40.54770318021201,2017-05-16,2026-09-01,False
0.4,1,2264,0.830746082909815,0.6167944581519947,1.10515499396178,0.9,-0.5150269124804755,10,0.3614932022976452,0.38957597173144876,0.38957597173144876,-15.634528484680265,599,120.32332155477032,38.957597173144876,2017-05-16,2026-09-01,False
0.4,1,2264,0.5499479153282985,0.3423967834691841,0.5413477059207386,0.8,-1.05951051688394,10,0.3625948693247131,0.4023851590106007,0.4023851590106007,-11.868176865019759,750,116.87279151943463,40.23851590106007,2017-05-16,2026-09-01,False
0.4,1,2264,0.8947872982878977,0.7003907468298713,1.2020372973554851,0.9,-0.0425526799917555,10,0.4328127335069011,0.4019434628975265,0.4019434628975265,-12.667405340536536,531,121.2137809187279,40.19434628975265,2017-05-16,2026-09-01,False
0.4,1,2264,0.2173493152103509,0.008764180602736808,0.050235990034575455,0.4,-1.4619005526552011,10,0.39510298075302297,0.4015017667844523,0.4015017667844523,-28.368652166263757,1938,121.99293286219081,40.150176678445234,2017-05-16,2026-09-01,False
0.4,1,2264,0.8971485251083019,0.6870216801166713,0.4915742066465795,0.7,-1.7284460584579477,10,0.3705819542406698,0.39664310954063603,0.39664310954063603,-19.32906975508636,1255,120.32332155477032,39.6643109540636,2017-05-16,2026-09-01,False
0.4,1,2264,0.7699395121310387,0.5608331291238696,0.5360808172089487,0.7,-0.5816601763530149,10,0.3801727038245759,0.4085689045936396,0.4085689045936396,-19.71340741710561,1058,121.7703180212014,40.85689045936396,2017-05-16,2026-09-01,False
0.4,1,2264,0.777766711592284,0.5736080391939752,0.7357052356612583,0.7,-0.873877929167162,10,0.3982818815782013,0.3992932862190813,0.3992932862190813,-16.398065079975506,1106,121.65901060070671,39.92932862190813,2017-05-16,2026-09-01,False
0.4,1,2264,0.5728990023196405,0.3704794637931258,0.7138807285017867,0.8,-0.2952591158140424,10,0.41153446919159176,0.3917844522968198,0.3917844522968198,-13.859472430691039,558,122.10424028268551,39.17844522968198,2017-05-16,2026-09-01,False
0.4,1,2264,0.2856531729452486,0.06960456978687156,0.08180413958514098,0.5,-1.4841652555981888,10,0.3699025351678697,0.41033568904593637,0.41033568904593637,-16.884885856236313,654,122.77208480565372,41.033568904593636,2017-05-16,2026-09-01,False
