event,offset,window,n_ev,mean_bps,base_bps,diff_bps,t,p,pos_years,n_years,ann_SR_if_traded
trade_balance,2,day,199,-5.960028246425234,1.1147238321755097,-7.074752078600744,-1.1620457548491294,0.2464953777773542,0.35294117647058826,17,-1.126737459338994
claims,-2,c2c,518,12.128955735480783,5.9397410705278855,6.189214664952897,1.1559997863535885,0.2480832577154089,0.7272727272727273,11,1.697770467116158
PPI,2,night,111,-3.1442951507614887,6.175857494931134,-9.320152645692623,-1.1578355491709746,0.24922011570616795,0.6,10,-0.6021923166657679
JOLTS,0,c2c,191,15.7025191739319,6.284288355063061,9.418230818868839,1.1483788974255738,0.25210975593206414,0.5294117647058824,17,2.258861989445161
JOLTS,1,ongap,110,-7.539119977393427,1.932026780440667,-9.471146757834093,-1.1495369029597586,0.2527877426855924,0.6,10,-1.3938117598556223
industrial_production,-2,c2c,198,14.30192273297613,6.338686316868814,7.963236416107317,1.1420492397564486,0.25462506124507805,0.6470588235294118,17,2.4034990838334007
claims,0,ongap,480,-1.3408136377325528,2.228628382100642,-3.569442019833195,-1.1384964182028656,0.2553888471741408,0.7,10,-0.32429433003430996
GDP_advance,-2,night,37,-7.264444884044088,5.934615575016542,-13.199060459060629,-1.1186902052896672,0.2703857838278944,0.6,10,-1.6234027466431058
durable_goods,1,day,199,-5.519214665359412,1.0921441918583674,-6.6113588572177795,-1.1009811260075995,0.27212322888539353,0.23529411764705882,17,-1.0585846154687581
case_shiller,1,day,140,-6.366973309743411,1.0233348707726448,-7.390308180516056,-1.1001612125577833,0.27302972182254354,0.4166666666666667,12,-1.2951074967626797
industrial_production,-1,day,198,-4.8803270158704235,1.057890173984966,-5.938217189855389,-1.0930539577706568,0.275559931516768,0.4117647058823529,17,-1.0430920070052068
PPI,-2,ongap,110,-2.5264699476156585,1.6760418671279678,-4.202511814743626,-1.0724898623661117,0.28557293137870393,0.3,10,-1.0091342267156695
claims,2,ongap,477,3.1585579344158634,1.021628624980164,2.136929309435699,1.0675395871676865,0.28598925481306603,0.7,10,1.3973335733729677
umich_sentiment,1,day,197,6.849513743446128,0.46187349099674474,6.387640252449383,1.0682931369215176,0.28658495136283435,0.6470588235294118,17,1.326347109698274
durable_goods,1,night,110,12.41619287887443,5.3768909972962025,7.039301881578228,1.0675870388241862,0.2877567396184599,0.8,10,2.9523513063314777
PCE,0,day,198,6.876086063310387,0.45887581740292765,6.41721024590746,1.0585447443763567,0.2909908883611233,0.8235294117647058,17,1.309039142557413
FOMC,0,day,94,-8.549976072834685,0.9895624606039334,-9.53953853343862,-1.049220230364081,0.2966923222729285,0.5,12,-1.5547612368322599
industrial_production,2,day,198,-5.147127061608511,1.0714842061661654,-6.218611267774676,-1.0394714557345641,0.29974598186962303,0.5294117647058824,17,-0.9936196756865361
umich_sentiment,-1,ongap,109,-2.194854732770902,1.6573186326811824,-3.8521733654520847,-1.0370409586014626,0.30171121414587804,0.4,10,-0.9328182702361506
claims,-2,day,518,4.0244305263387075,0.2972522306000514,3.727178295738656,1.028820067218695,0.30392308527805795,0.6363636363636364,11,0.8345281589368564
case_shiller,-2,c2c,140,16.833041477456327,6.36594572049635,10.467095756959978,1.0310702743076638,0.3041813316280897,0.7692307692307693,13,2.2627211226658432
new_home_sales,1,day,195,-4.89942232501646,1.054266860463215,-5.953689185479675,-1.028323876374296,0.30495574542738874,0.35294117647058826,17,-0.9864747325749932
housing_starts,-1,ongap,108,-1.0424913998290457,1.5978068454255365,-2.640298245254582,-1.0197486936327678,0.3095070524953268,0.4,10,-0.6677240105860642
